verb_surface,occurrences,total_args,role_direct_object,role_imperf_verb,role_prep_phrase,role_subject,role_state,role_predicate,role_imper_verb,role_past_verb,role_subject_nominal,role_cognate,role_purpose,role_specifier,role_comitative
نشاء,19,82,9.0,10.0,31.0,3.0,2.0,5.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0
فقالوا,18,72,6.0,7.0,19.0,2.0,1.0,11.0,5.0,10.0,9.0,2.0,0.0,0.0,0.0
يتقون,18,18,2.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
أراد,18,79,17.0,12.0,26.0,7.0,4.0,3.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0
ضل,18,57,3.0,6.0,23.0,5.0,2.0,5.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0
فقل,18,68,3.0,10.0,18.0,2.0,1.0,13.0,3.0,6.0,10.0,2.0,0.0,0.0,0.0
يغفر,18,84,12.0,20.0,30.0,6.0,1.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
جاءتهم,18,82,4.0,7.0,25.0,18.0,2.0,4.0,1.0,14.0,6.0,0.0,1.0,0.0,0.0
واعلموا,18,43,2.0,5.0,15.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
يفترون,18,23,5.0,3.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
حرم,18,77,8.0,5.0,29.0,14.0,1.0,1.0,1.0,12.0,5.0,1.0,0.0,0.0,0.0
يخرج,17,82,11.0,9.0,47.0,6.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
فاتقوا,17,48,19.0,3.0,5.0,0.0,0.0,1.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0
اعبدوا,17,69,19.0,3.0,13.0,0.0,0.0,13.0,5.0,3.0,13.0,0.0,0.0,0.0,0.0
تجد,17,56,18.0,4.0,31.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
يحكم,17,73,3.0,3.0,23.0,10.0,1.0,13.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0
ينزل,17,85,10.0,9.0,41.0,5.0,0.0,6.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0
يفعل,17,61,16.0,13.0,15.0,2.0,1.0,4.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0
يبين,17,74,11.0,12.0,24.0,10.0,0.0,7.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0
يضل,17,65,15.0,18.0,15.0,6.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
آتيناهم,16,75,15.0,17.0,24.0,0.0,1.0,5.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0
سمعنا,16,69,8.0,6.0,25.0,1.0,3.0,4.0,6.0,11.0,4.0,1.0,0.0,0.0,0.0
وكنا,16,35,0.0,3.0,11.0,0.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
خلقكم,16,61,3.0,7.0,34.0,0.0,1.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
كسبت,16,55,3.0,9.0,12.0,3.0,3.0,10.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0
أهلكنا,16,76,8.0,3.0,42.0,0.0,3.0,4.0,0.0,7.0,5.0,0.0,1.0,3.0,0.0
تتلى,16,78,0.0,4.0,25.0,15.0,9.0,5.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0
تأتيهم,16,70,1.0,13.0,21.0,18.0,9.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
قدمت,16,56,4.0,4.0,14.0,13.0,0.0,8.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0
كذبت,16,49,5.0,1.0,22.0,16.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
وبئس,15,16,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تقولوا,15,66,7.0,6.0,24.0,5.0,0.0,4.0,5.0,9.0,6.0,0.0,0.0,0.0,0.0
