root,past_3sg_m,bab,transitivity,masdar,هو_3sg_m,هي_3sg_f,هما_3du_m,هما_3du_f,هم_3pl_m,هن_3pl_f,أنتَ_2sg_m,أنتِ_2sg_f,أنتما_2du,أنتم_2pl_m,أنتن_2pl_f,أنا_1sg,نحن_1pl
غضر,غَضُرَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,غَضَارَة,غَضُرَ,غَضُرَتْ,غَضُرَا,غَضُرَتَا,غَضُرُوا,غَضُرْنَ,غَضُرْتَ,غَضُرْتِ,غَضُرْتُمَا,غَضُرْتُمْ,غَضُرْتُنَّ,غَضُرْتُ,غَضُرْنَا
غضف,غَضَفَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَضْف,غَضَفَ,غَضَفَتْ,غَضَفَا,غَضَفَتَا,غَضَفُوا,غَضَفْنَ,غَضَفْتَ,غَضَفْتِ,غَضَفْتُمَا,غَضَفْتُمْ,غَضَفْتُنَّ,غَضَفْتُ,غَضَفْنَا
غضف,غَضِفَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَضَف,غَضِفَ,غَضِفَتْ,غَضِفَا,غَضِفَتَا,غَضِفُوا,غَضِفْنَ,غَضِفْتَ,غَضِفْتِ,غَضِفْتُمَا,غَضِفْتُمْ,غَضِفْتُنَّ,غَضِفْتُ,غَضِفْنَا
غضن,غَضَنَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,غَضْن,غَضَنَ,غَضَنَتْ,غَضَنَا,غَضَنَتَا,غَضَنُوا,غَضَنْنَ,غَضَنْتَ,غَضَنْتِ,غَضَنْتُمَا,غَضَنْتُمْ,غَضَنْتُنَّ,غَضَنْتُ,غَضَنْنَا
غضن,غَضَنَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,غُضُون,غَضَنَ,غَضَنَتْ,غَضَنَا,غَضَنَتَا,غَضَنُوا,غَضَنْنَ,غَضَنْتَ,غَضَنْتِ,غَضَنْتُمَا,غَضَنْتُمْ,غَضَنْتُنَّ,غَضَنْتُ,غَضَنْنَا
غضن,غَضِنَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَضَن,غَضِنَ,غَضِنَتْ,غَضِنَا,غَضِنَتَا,غَضِنُوا,غَضِنْنَ,غَضِنْتَ,غَضِنْتِ,غَضِنْتُمَا,غَضِنْتُمْ,غَضِنْتُنَّ,غَضِنْتُ,غَضِنْنَا
غطس,غَطَسَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,غَطْس,غَطَسَ,غَطَسَتْ,غَطَسَا,غَطَسَتَا,غَطَسُوا,غَطَسْنَ,غَطَسْتَ,غَطَسْتِ,غَطَسْتُمَا,غَطَسْتُمْ,غَطَسْتُنَّ,غَطَسْتُ,غَطَسْنَا
غطش,غَطَشَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,غَطْش,غَطَشَ,غَطَشَتْ,غَطَشَا,غَطَشَتَا,غَطَشُوا,غَطَشْنَ,غَطَشْتَ,غَطَشْتِ,غَطَشْتُمَا,غَطَشْتُمْ,غَطَشْتُنَّ,غَطَشْتُ,غَطَشْنَا
غطش,غَطِشَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَطَش,غَطِشَ,غَطِشَتْ,غَطِشَا,غَطِشَتَا,غَطِشُوا,غَطِشْنَ,غَطِشْتَ,غَطِشْتِ,غَطِشْتُمَا,غَطِشْتُمْ,غَطِشْتُنَّ,غَطِشْتُ,غَطِشْنَا
غطف,غَطِفَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَطَف,غَطِفَ,غَطِفَتْ,غَطِفَا,غَطِفَتَا,غَطِفُوا,غَطِفْنَ,غَطِفْتَ,غَطِفْتِ,غَطِفْتُمَا,غَطِفْتُمْ,غَطِفْتُنَّ,غَطِفْتُ,غَطِفْنَا
غطل,غَطَلَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,غَطْل,غَطَلَ,غَطَلَتْ,غَطَلَا,غَطَلَتَا,غَطَلُوا,غَطَلْنَ,غَطَلْتَ,غَطَلْتِ,غَطَلْتُمَا,غَطَلْتُمْ,غَطَلْتُنَّ,غَطَلْتُ,غَطَلْنَا
غطل,غَطِلَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَطَل,غَطِلَ,غَطِلَتْ,غَطِلَا,غَطِلَتَا,غَطِلُوا,غَطِلْنَ,غَطِلْتَ,غَطِلْتِ,غَطِلْتُمَا,غَطِلْتُمْ,غَطِلْتُنَّ,غَطِلْتُ,غَطِلْنَا
غفر,غَفَرَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,غُفُْرَانًا,غَفَرَ,غَفَرَتْ,غَفَرَا,غَفَرَتَا,غَفَرُوا,غَفَرْنَ,غَفَرْتَ,غَفَرْتِ,غَفَرْتُمَا,غَفَرْتُمْ,غَفَرْتُنَّ,غَفَرْتُ,غَفَرْنَا
غفر,غَفِرَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَفَر,غَفِرَ,غَفِرَتْ,غَفِرَا,غَفِرَتَا,غَفِرُوا,غَفِرْنَ,غَفِرْتَ,غَفِرْتِ,غَفِرْتُمَا,غَفِرْتُمْ,غَفِرْتُنَّ,غَفِرْتُ,غَفِرْنَا
غفق,غَفَقَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَفْق,غَفَقَ,غَفَقَتْ,غَفَقَا,غَفَقَتَا,غَفَقُوا,غَفَقْنَ,غَفَقْتَ,غَفَقْتِ,غَفَقْتُمَا,غَفَقْتُمْ,غَفَقْتُنَّ,غَفَقْتُ,غَفَقْنَا
غفل,غَفَلَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,غُفُول,غَفَلَ,غَفَلَتْ,غَفَلَا,غَفَلَتَا,غَفَلُوا,غَفَلْنَ,غَفَلْتَ,غَفَلْتِ,غَفَلْتُمَا,غَفَلْتُمْ,غَفَلْتُنَّ,غَفَلْتُ,غَفَلْنَا
غلب,غَلَبَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَلَب,غَلَبَ,غَلَبَتْ,غَلَبَا,غَلَبَتَا,غَلَبُوا,غَلَبْنَ,غَلَبْتَ,غَلَبْتِ,غَلَبْتُمَا,غَلَبْتُمْ,غَلَبْتُنَّ,غَلَبْتُ,غَلَبْنَا
غلب,غَلِبَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَلَب,غَلِبَ,غَلِبَتْ,غَلِبَا,غَلِبَتَا,غَلِبُوا,غَلِبْنَ,غَلِبْتَ,غَلِبْتِ,غَلِبْتُمَا,غَلِبْتُمْ,غَلِبْتُنَّ,غَلِبْتُ,غَلِبْنَا
غلت,غَلَتَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,غَلْت,غَلَتَ,غَلَتَتْ,غَلَتَا,غَلَتَتَا,غَلَتُوا,غَلَتْنَ,غَلَتْتَ,غَلَتْتِ,غَلَتْتُمَا,غَلَتْتُمْ,غَلَتْتُنَّ,غَلَتْتُ,غَلَتْنَا
غلت,غَلِتَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَلَت,غَلِتَ,غَلِتَتْ,غَلِتَا,غَلِتَتَا,غَلِتُوا,غَلِتْنَ,غَلِتْتَ,غَلِتْتِ,غَلِتْتُمَا,غَلِتْتُمْ,غَلِتْتُنَّ,غَلِتْتُ,غَلِتْنَا
غلث,غَلَثَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَلْث,غَلَثَ,غَلَثَتْ,غَلَثَا,غَلَثَتَا,غَلَثُوا,غَلَثْنَ,غَلَثْتَ,غَلَثْتِ,غَلَثْتُمَا,غَلَثْتُمْ,غَلَثْتُنَّ,غَلَثْتُ,غَلَثْنَا
غلث,غَلِثَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَلَث,غَلِثَ,غَلِثَتْ,غَلِثَا,غَلِثَتَا,غَلِثُوا,غَلِثْنَ,غَلِثْتَ,غَلِثْتِ,غَلِثْتُمَا,غَلِثْتُمْ,غَلِثْتُنَّ,غَلِثْتُ,غَلِثْنَا
غلج,غَلَجَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,غَلَج,غَلَجَ,غَلَجَتْ,غَلَجَا,غَلَجَتَا,غَلَجُوا,غَلَجْنَ,غَلَجْتَ,غَلَجْتِ,غَلَجْتُمَا,غَلَجْتُمْ,غَلَجْتُنَّ,غَلَجْتُ,غَلَجْنَا
غلط,غَلِطَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَلَط,غَلِطَ,غَلِطَتْ,غَلِطَا,غَلِطَتَا,غَلِطُوا,غَلِطْنَ,غَلِطْتَ,غَلِطْتِ,غَلِطْتُمَا,غَلِطْتُمْ,غَلِطْتُنَّ,غَلِطْتُ,غَلِطْنَا
غلظ,غَلَظَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,غَلْظ,غَلَظَ,غَلَظَتْ,غَلَظَا,غَلَظَتَا,غَلَظُوا,غَلَظْنَ,غَلَظْتَ,غَلَظْتِ,غَلَظْتُمَا,غَلَظْتُمْ,غَلَظْتُنَّ,غَلَظْتُ,غَلَظْنَا
غلظ,غَلُظَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,غِلَظ,غَلُظَ,غَلُظَتْ,غَلُظَا,غَلُظَتَا,غَلُظُوا,غَلُظْنَ,غَلُظْتَ,غَلُظْتِ,غَلُظْتُمَا,غَلُظْتُمْ,غَلُظْتُنَّ,غَلُظْتُ,غَلُظْنَا
غلف,غَلَفَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,غَلْف,غَلَفَ,غَلَفَتْ,غَلَفَا,غَلَفَتَا,غَلَفُوا,غَلَفْنَ,غَلَفْتَ,غَلَفْتِ,غَلَفْتُمَا,غَلَفْتُمْ,غَلَفْتُنَّ,غَلَفْتُ,غَلَفْنَا
غلف,غَلِفَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَلَف,غَلِفَ,غَلِفَتْ,غَلِفَا,غَلِفَتَا,غَلِفُوا,غَلِفْنَ,غَلِفْتَ,غَلِفْتِ,غَلِفْتُمَا,غَلِفْتُمْ,غَلِفْتُنَّ,غَلِفْتُ,غَلِفْنَا
غلق,غَلَقَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَلْق,غَلَقَ,غَلَقَتْ,غَلَقَا,غَلَقَتَا,غَلَقُوا,غَلَقْنَ,غَلَقْتَ,غَلَقْتِ,غَلَقْتُمَا,غَلَقْتُمْ,غَلَقْتُنَّ,غَلَقْتُ,غَلَقْنَا
غلق,غَلِقَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَلَق,غَلِقَ,غَلِقَتْ,غَلِقَا,غَلِقَتَا,غَلِقُوا,غَلِقْنَ,غَلِقْتَ,غَلِقْتِ,غَلِقْتُمَا,غَلِقْتُمْ,غَلِقْتُنَّ,غَلِقْتُ,غَلِقْنَا
