root,past_3sg_m,bab,transitivity,masdar,هو_3sg_m,هي_3sg_f,هما_3du_m,هما_3du_f,هم_3pl_m,هن_3pl_f,أنتَ_2sg_m,أنتِ_2sg_f,أنتما_2du,أنتم_2pl_m,أنتن_2pl_f,أنا_1sg,نحن_1pl
ملط,مَلُطَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم, ,مَلُطَ,مَلُطَتْ,مَلُطَا,مَلُطَتَا,مَلُطُوا,مَلُطْنَ,مَلُطْتَ,مَلُطْتِ,مَلُطْتُمَا,مَلُطْتُمْ,مَلُطْتُنَّ,مَلُطْتُ,مَلُطْنَا
ملع,مَلَعَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,مَلَعَ,مَلَعَتْ,مَلَعَا,مَلَعَتَا,مَلَعُوا,مَلَعْنَ,مَلَعْتَ,مَلَعْتِ,مَلَعْتُمَا,مَلَعْتُمْ,مَلَعْتُنَّ,مَلَعْتُ,مَلَعْنَا
ملق,مَلَقَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,مَلَقَ,مَلَقَتْ,مَلَقَا,مَلَقَتَا,مَلَقُوا,مَلَقْنَ,مَلَقْتَ,مَلَقْتِ,مَلَقْتُمَا,مَلَقْتُمْ,مَلَقْتُنَّ,مَلَقْتُ,مَلَقْنَا
ملق,مَلَقَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,مَلَقَ,مَلَقَتْ,مَلَقَا,مَلَقَتَا,مَلَقُوا,مَلَقْنَ,مَلَقْتَ,مَلَقْتِ,مَلَقْتُمَا,مَلَقْتُمْ,مَلَقْتُنَّ,مَلَقْتُ,مَلَقْنَا
ملق,مَلِقَ,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك , ,مَلِقَ,مَلِقَتْ,مَلِقَا,مَلِقَتَا,مَلِقُوا,مَلِقْنَ,مَلِقْتَ,مَلِقْتِ,مَلِقْتُمَا,مَلِقْتُمْ,مَلِقْتُنَّ,مَلِقْتُ,مَلِقْنَا
ملك,مَلَكَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,مَلَكَ,مَلَكَتْ,مَلَكَا,مَلَكَتَا,مَلَكُوا,مَلَكْنَ,مَلَكْتَ,مَلَكْتِ,مَلَكْتُمَا,مَلَكْتُمْ,مَلَكْتُنَّ,مَلَكْتُ,مَلَكْنَا
منح,مَنَحَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي, ,مَنَحَ,مَنَحَتْ,مَنَحَا,مَنَحَتَا,مَنَحُوا,مَنَحْنَ,مَنَحْتَ,مَنَحْتِ,مَنَحْتُمَا,مَنَحْتُمْ,مَنَحْتُنَّ,مَنَحْتُ,مَنَحْنَا
منح,مَنَحَ,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي, ,مَنَحَ,مَنَحَتْ,مَنَحَا,مَنَحَتَا,مَنَحُوا,مَنَحْنَ,مَنَحْتَ,مَنَحْتِ,مَنَحْتُمَا,مَنَحْتُمْ,مَنَحْتُنَّ,مَنَحْتُ,مَنَحْنَا
منع,مَنَعَ,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي, ,مَنَعَ,مَنَعَتْ,مَنَعَا,مَنَعَتَا,مَنَعُوا,مَنَعْنَ,مَنَعْتَ,مَنَعْتِ,مَنَعْتُمَا,مَنَعْتُمْ,مَنَعْتُنَّ,مَنَعْتُ,مَنَعْنَا
خزب,خَزِبَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم, ,خَزِبَ,خَزِبَتْ,خَزِبَا,خَزِبَتَا,خَزِبُوا,خَزِبْنَ,خَزِبْتَ,خَزِبْتِ,خَزِبْتُمَا,خَزِبْتُمْ,خَزِبْتُنَّ,خَزِبْتُ,خَزِبْنَا
منع,مَنُعَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم, ,مَنُعَ,مَنُعَتْ,مَنُعَا,مَنُعَتَا,مَنُعُوا,مَنُعْنَ,مَنُعْتَ,مَنُعْتِ,مَنُعْتُمَا,مَنُعْتُمْ,مَنُعْتُنَّ,مَنُعْتُ,مَنُعْنَا
مهج,مَهَجَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,مَهَجَ,مَهَجَتْ,مَهَجَا,مَهَجَتَا,مَهَجُوا,مَهَجْنَ,مَهَجْتَ,مَهَجْتِ,مَهَجْتُمَا,مَهَجْتُمْ,مَهَجْتُنَّ,مَهَجْتُ,مَهَجْنَا
مهد,مَهَدَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,مَهَدَ,مَهَدَتْ,مَهَدَا,مَهَدَتَا,مَهَدُوا,مَهَدْنَ,مَهَدْتَ,مَهَدْتِ,مَهَدْتُمَا,مَهَدْتُمْ,مَهَدْتُنَّ,مَهَدْتُ,مَهَدْنَا
مهر,مَهَرَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,مَهَرَ,مَهَرَتْ,مَهَرَا,مَهَرَتَا,مَهَرُوا,مَهَرْنَ,مَهَرْتَ,مَهَرْتِ,مَهَرْتُمَا,مَهَرْتُمْ,مَهَرْتُنَّ,مَهَرْتُ,مَهَرْنَا
مهر,مَهَرَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,مَهَرَ,مَهَرَتْ,مَهَرَا,مَهَرَتَا,مَهَرُوا,مَهَرْنَ,مَهَرْتَ,مَهَرْتِ,مَهَرْتُمَا,مَهَرْتُمْ,مَهَرْتُنَّ,مَهَرْتُ,مَهَرْنَا
مهز,مَهَزَ,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي, ,مَهَزَ,مَهَزَتْ,مَهَزَا,مَهَزَتَا,مَهَزُوا,مَهَزْنَ,مَهَزْتَ,مَهَزْتِ,مَهَزْتُمَا,مَهَزْتُمْ,مَهَزْتُنَّ,مَهَزْتُ,مَهَزْنَا
مهق,مَهِقَ,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك , ,مَهِقَ,مَهِقَتْ,مَهِقَا,مَهِقَتَا,مَهِقُوا,مَهِقْنَ,مَهِقْتَ,مَهِقْتِ,مَهِقْتُمَا,مَهِقْتُمْ,مَهِقْتُنَّ,مَهِقْتُ,مَهِقْنَا
مهك,مَهَكَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,مَهَكَ,مَهَكَتْ,مَهَكَا,مَهَكَتَا,مَهَكُوا,مَهَكْنَ,مَهَكْتَ,مَهَكْتِ,مَهَكْتُمَا,مَهَكْتُمْ,مَهَكْتُنَّ,مَهَكْتُ,مَهَكْنَا
مهك,مَهِكَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم, ,مَهِكَ,مَهِكَتْ,مَهِكَا,مَهِكَتَا,مَهِكُوا,مَهِكْنَ,مَهِكْتَ,مَهِكْتِ,مَهِكْتُمَا,مَهِكْتُمْ,مَهِكْتُنَّ,مَهِكْتُ,مَهِكْنَا
مهل,مَهَلَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,مَهَلَ,مَهَلَتْ,مَهَلَا,مَهَلَتَا,مَهَلُوا,مَهَلْنَ,مَهَلْتَ,مَهَلْتِ,مَهَلْتُمَا,مَهَلْتُمْ,مَهَلْتُنَّ,مَهَلْتُ,مَهَلْنَا
مهن,مَهَنَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,مَهَنَ,مَهَنَتْ,مَهَنَا,مَهَنَتَا,مَهَنُوا,مَهَنْنَ,مَهَنْتَ,مَهَنْتِ,مَهَنْتُمَا,مَهَنْتُمْ,مَهَنْتُنَّ,مَهَنْتُ,مَهَنْنَا
مهن,مَهَنَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,مَهَنَ,مَهَنَتْ,مَهَنَا,مَهَنَتَا,مَهَنُوا,مَهَنْنَ,مَهَنْتَ,مَهَنْتِ,مَهَنْتُمَا,مَهَنْتُمْ,مَهَنْتُنَّ,مَهَنْتُ,مَهَنْنَا
مهن,مَهُنَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم, ,مَهُنَ,مَهُنَتْ,مَهُنَا,مَهُنَتَا,مَهُنُوا,مَهُنْنَ,مَهُنْتَ,مَهُنْتِ,مَهُنْتُمَا,مَهُنْتُمْ,مَهُنْتُنَّ,مَهُنْتُ,مَهُنْنَا
خزج,خَزِجَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم, ,خَزِجَ,خَزِجَتْ,خَزِجَا,خَزِجَتَا,خَزِجُوا,خَزِجْنَ,خَزِجْتَ,خَزِجْتِ,خَزِجْتُمَا,خَزِجْتُمْ,خَزِجْتُنَّ,خَزِجْتُ,خَزِجْنَا
خزر,خَزَرَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي, ,خَزَرَ,خَزَرَتْ,خَزَرَا,خَزَرَتَا,خَزَرُوا,خَزَرْنَ,خَزَرْتَ,خَزَرْتِ,خَزَرْتُمَا,خَزَرْتُمْ,خَزَرْتُنَّ,خَزَرْتُ,خَزَرْنَا
نبت,نَبَتَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَبَتَ,نَبَتَتْ,نَبَتَا,نَبَتَتَا,نَبَتُوا,نَبَتْنَ,نَبَتْتَ,نَبَتْتِ,نَبَتْتُمَا,نَبَتْتُمْ,نَبَتْتُنَّ,نَبَتْتُ,نَبَتْنَا
نبث,نَبَثَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,نَبَثَ,نَبَثَتْ,نَبَثَا,نَبَثَتَا,نَبَثُوا,نَبَثْنَ,نَبَثْتَ,نَبَثْتِ,نَبَثْتُمَا,نَبَثْتُمْ,نَبَثْتُنَّ,نَبَثْتُ,نَبَثْنَا
نبج,نَبَجَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَبَجَ,نَبَجَتْ,نَبَجَا,نَبَجَتَا,نَبَجُوا,نَبَجْنَ,نَبَجْتَ,نَبَجْتِ,نَبَجْتُمَا,نَبَجْتُمْ,نَبَجْتُنَّ,نَبَجْتُ,نَبَجْنَا
نبج,نَبَجَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم, ,نَبَجَ,نَبَجَتْ,نَبَجَا,نَبَجَتَا,نَبَجُوا,نَبَجْنَ,نَبَجْتَ,نَبَجْتِ,نَبَجْتُمَا,نَبَجْتُمْ,نَبَجْتُنَّ,نَبَجْتُ,نَبَجْنَا
نبح,نَبَحَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَبَحَ,نَبَحَتْ,نَبَحَا,نَبَحَتَا,نَبَحُوا,نَبَحْنَ,نَبَحْتَ,نَبَحْتِ,نَبَحْتُمَا,نَبَحْتُمْ,نَبَحْتُنَّ,نَبَحْتُ,نَبَحْنَا
نبح,نَبَحَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك , ,نَبَحَ,نَبَحَتْ,نَبَحَا,نَبَحَتَا,نَبَحُوا,نَبَحْنَ,نَبَحْتَ,نَبَحْتِ,نَبَحْتُمَا,نَبَحْتُمْ,نَبَحْتُنَّ,نَبَحْتُ,نَبَحْنَا
نبخ,نَبَخَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَبَخَ,نَبَخَتْ,نَبَخَا,نَبَخَتَا,نَبَخُوا,نَبَخْنَ,نَبَخْتَ,نَبَخْتِ,نَبَخْتُمَا,نَبَخْتُمْ,نَبَخْتُنَّ,نَبَخْتُ,نَبَخْنَا
نبذ,نَبَذَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَبَذَ,نَبَذَتْ,نَبَذَا,نَبَذَتَا,نَبَذُوا,نَبَذْنَ,نَبَذْتَ,نَبَذْتِ,نَبَذْتُمَا,نَبَذْتُمْ,نَبَذْتُنَّ,نَبَذْتُ,نَبَذْنَا
نبر,نَبَرَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَبَرَ,نَبَرَتْ,نَبَرَا,نَبَرَتَا,نَبَرُوا,نَبَرْنَ,نَبَرْتَ,نَبَرْتِ,نَبَرْتُمَا,نَبَرْتُمْ,نَبَرْتُنَّ,نَبَرْتُ,نَبَرْنَا
نبز,نَبَزَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي, ,نَبَزَ,نَبَزَتْ,نَبَزَا,نَبَزَتَا,نَبَزُوا,نَبَزْنَ,نَبَزْتَ,نَبَزْتِ,نَبَزْتُمَا,نَبَزْتُمْ,نَبَزْتُنَّ,نَبَزْتُ,نَبَزْنَا
نبس,نَبَسَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَبَسَ,نَبَسَتْ,نَبَسَا,نَبَسَتَا,نَبَسُوا,نَبَسْنَ,نَبَسْتَ,نَبَسْتِ,نَبَسْتُمَا,نَبَسْتُمْ,نَبَسْتُنَّ,نَبَسْتُ,نَبَسْنَا
خزر,خَزِرَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم, ,خَزِرَ,خَزِرَتْ,خَزِرَا,خَزِرَتَا,خَزِرُوا,خَزِرْنَ,خَزِرْتَ,خَزِرْتِ,خَزِرْتُمَا,خَزِرْتُمْ,خَزِرْتُنَّ,خَزِرْتُ,خَزِرْنَا
نبش,نَبَشَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,نَبَشَ,نَبَشَتْ,نَبَشَا,نَبَشَتَا,نَبَشُوا,نَبَشْنَ,نَبَشْتَ,نَبَشْتِ,نَبَشْتُمَا,نَبَشْتُمْ,نَبَشْتُنَّ,نَبَشْتُ,نَبَشْنَا
نبص,نَبَصَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَبَصَ,نَبَصَتْ,نَبَصَا,نَبَصَتَا,نَبَصُوا,نَبَصْنَ,نَبَصْتَ,نَبَصْتِ,نَبَصْتُمَا,نَبَصْتُمْ,نَبَصْتُنَّ,نَبَصْتُ,نَبَصْنَا
نبض,نَبَضَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَبَضَ,نَبَضَتْ,نَبَضَا,نَبَضَتَا,نَبَضُوا,نَبَضْنَ,نَبَضْتَ,نَبَضْتِ,نَبَضْتُمَا,نَبَضْتُمْ,نَبَضْتُنَّ,نَبَضْتُ,نَبَضْنَا
نبط,نَبَطَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,نَبَطَ,نَبَطَتْ,نَبَطَا,نَبَطَتَا,نَبَطُوا,نَبَطْنَ,نَبَطْتَ,نَبَطْتِ,نَبَطْتُمَا,نَبَطْتُمْ,نَبَطْتُنَّ,نَبَطْتُ,نَبَطْنَا
نبط,نَبَطَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَبَطَ,نَبَطَتْ,نَبَطَا,نَبَطَتَا,نَبَطُوا,نَبَطْنَ,نَبَطْتَ,نَبَطْتِ,نَبَطْتُمَا,نَبَطْتُمْ,نَبَطْتُنَّ,نَبَطْتُ,نَبَطْنَا
نبع,نَبَعَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَبَعَ,نَبَعَتْ,نَبَعَا,نَبَعَتَا,نَبَعُوا,نَبَعْنَ,نَبَعْتَ,نَبَعْتِ,نَبَعْتُمَا,نَبَعْتُمْ,نَبَعْتُنَّ,نَبَعْتُ,نَبَعْنَا
نبع,نَبَعَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم, ,نَبَعَ,نَبَعَتْ,نَبَعَا,نَبَعَتَا,نَبَعُوا,نَبَعْنَ,نَبَعْتَ,نَبَعْتِ,نَبَعْتُمَا,نَبَعْتُمْ,نَبَعْتُنَّ,نَبَعْتُ,نَبَعْنَا
نبع,نَبَعَ,فَعَلَ يَفْعَلُ ( فتحتان ),لازم, ,نَبَعَ,نَبَعَتْ,نَبَعَا,نَبَعَتَا,نَبَعُوا,نَبَعْنَ,نَبَعْتَ,نَبَعْتِ,نَبَعْتُمَا,نَبَعْتُمْ,نَبَعْتُنَّ,نَبَعْتُ,نَبَعْنَا
نبغ,نَبَغَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَبَغَ,نَبَغَتْ,نَبَغَا,نَبَغَتَا,نَبَغُوا,نَبَغْنَ,نَبَغْتَ,نَبَغْتِ,نَبَغْتُمَا,نَبَغْتُمْ,نَبَغْتُنَّ,نَبَغْتُ,نَبَغْنَا
نبغ,نَبَغَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم, ,نَبَغَ,نَبَغَتْ,نَبَغَا,نَبَغَتَا,نَبَغُوا,نَبَغْنَ,نَبَغْتَ,نَبَغْتِ,نَبَغْتُمَا,نَبَغْتُمْ,نَبَغْتُنَّ,نَبَغْتُ,نَبَغْنَا
نبغ,نَبَغَ,فَعَلَ يَفْعَلُ ( فتحتان ),لازم, ,نَبَغَ,نَبَغَتْ,نَبَغَا,نَبَغَتَا,نَبَغُوا,نَبَغْنَ,نَبَغْتَ,نَبَغْتِ,نَبَغْتُمَا,نَبَغْتُمْ,نَبَغْتُنَّ,نَبَغْتُ,نَبَغْنَا
نبق,نَبَقَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,نَبَقَ,نَبَقَتْ,نَبَقَا,نَبَقَتَا,نَبَقُوا,نَبَقْنَ,نَبَقْتَ,نَبَقْتِ,نَبَقْتُمَا,نَبَقْتُمْ,نَبَقْتُنَّ,نَبَقْتُ,نَبَقْنَا
نبك,نَبَكَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَبَكَ,نَبَكَتْ,نَبَكَا,نَبَكَتَا,نَبَكُوا,نَبَكْنَ,نَبَكْتَ,نَبَكْتِ,نَبَكْتُمَا,نَبَكْتُمْ,نَبَكْتُنَّ,نَبَكْتُ,نَبَكْنَا
نبل,نَبَلَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,نَبَلَ,نَبَلَتْ,نَبَلَا,نَبَلَتَا,نَبَلُوا,نَبَلْنَ,نَبَلْتَ,نَبَلْتِ,نَبَلْتُمَا,نَبَلْتُمْ,نَبَلْتُنَّ,نَبَلْتُ,نَبَلْنَا
نبل,نَبُلَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم, ,نَبُلَ,نَبُلَتْ,نَبُلَا,نَبُلَتَا,نَبُلُوا,نَبُلْنَ,نَبُلْتَ,نَبُلْتِ,نَبُلْتُمَا,نَبُلْتُمْ,نَبُلْتُنَّ,نَبُلْتُ,نَبُلْنَا
نبه,نَبَهَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَبَهَ,نَبَهَتْ,نَبَهَا,نَبَهَتَا,نَبَهُوا,نَبَهْنَ,نَبَهْتَ,نَبَهْتِ,نَبَهْتُمَا,نَبَهْتُمْ,نَبَهْتُنَّ,نَبَهْتُ,نَبَهْنَا
نبه,نَبِهَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم, ,نَبِهَ,نَبِهَتْ,نَبِهَا,نَبِهَتَا,نَبِهُوا,نَبِهْنَ,نَبِهْتَ,نَبِهْتِ,نَبِهْتُمَا,نَبِهْتُمْ,نَبِهْتُنَّ,نَبِهْتُ,نَبِهْنَا
نبه,نَبُهَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم, ,نَبُهَ,نَبُهَتْ,نَبُهَا,نَبُهَتَا,نَبُهُوا,نَبُهْنَ,نَبُهْتَ,نَبُهْتِ,نَبُهْتُمَا,نَبُهْتُمْ,نَبُهْتُنَّ,نَبُهْتُ,نَبُهْنَا
نتج,نَتَجَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَتَجَ,نَتَجَتْ,نَتَجَا,نَتَجَتَا,نَتَجُوا,نَتَجْنَ,نَتَجْتَ,نَتَجْتِ,نَتَجْتُمَا,نَتَجْتُمْ,نَتَجْتُنَّ,نَتَجْتُ,نَتَجْنَا
نتح,نَتَحَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَتَحَ,نَتَحَتْ,نَتَحَا,نَتَحَتَا,نَتَحُوا,نَتَحْنَ,نَتَحْتَ,نَتَحْتِ,نَتَحْتُمَا,نَتَحْتُمْ,نَتَحْتُنَّ,نَتَحْتُ,نَتَحْنَا
نتخ,نَتَخَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَتَخَ,نَتَخَتْ,نَتَخَا,نَتَخَتَا,نَتَخُوا,نَتَخْنَ,نَتَخْتَ,نَتَخْتِ,نَتَخْتُمَا,نَتَخْتُمْ,نَتَخْتُنَّ,نَتَخْتُ,نَتَخْنَا
نتر,نَتَرَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,نَتَرَ,نَتَرَتْ,نَتَرَا,نَتَرَتَا,نَتَرُوا,نَتَرْنَ,نَتَرْتَ,نَتَرْتِ,نَتَرْتُمَا,نَتَرْتُمْ,نَتَرْتُنَّ,نَتَرْتُ,نَتَرْنَا
نتر,نَتِرَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم, ,نَتِرَ,نَتِرَتْ,نَتِرَا,نَتِرَتَا,نَتِرُوا,نَتِرْنَ,نَتِرْتَ,نَتِرْتِ,نَتِرْتُمَا,نَتِرْتُمْ,نَتِرْتُنَّ,نَتِرْتُ,نَتِرْنَا
نتس,نَتَسَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي, ,نَتَسَ,نَتَسَتْ,نَتَسَا,نَتَسَتَا,نَتَسُوا,نَتَسْنَ,نَتَسْتَ,نَتَسْتِ,نَتَسْتُمَا,نَتَسْتُمْ,نَتَسْتُنَّ,نَتَسْتُ,نَتَسْنَا
نتش,نَتَشَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك , ,نَتَشَ,نَتَشَتْ,نَتَشَا,نَتَشَتَا,نَتَشُوا,نَتَشْنَ,نَتَشْتَ,نَتَشْتِ,نَتَشْتُمَا,نَتَشْتُمْ,نَتَشْتُنَّ,نَتَشْتُ,نَتَشْنَا
نتض,نَتَضَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَتَضَ,نَتَضَتْ,نَتَضَا,نَتَضَتَا,نَتَضُوا,نَتَضْنَ,نَتَضْتَ,نَتَضْتِ,نَتَضْتُمَا,نَتَضْتُمْ,نَتَضْتُنَّ,نَتَضْتُ,نَتَضْنَا
نتع,نَتَعَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم, ,نَتَعَ,نَتَعَتْ,نَتَعَا,نَتَعَتَا,نَتَعُوا,نَتَعْنَ,نَتَعْتَ,نَتَعْتِ,نَتَعْتُمَا,نَتَعْتُمْ,نَتَعْتُنَّ,نَتَعْتُ,نَتَعْنَا
نتع,نَتَعَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم, ,نَتَعَ,نَتَعَتْ,نَتَعَا,نَتَعَتَا,نَتَعُوا,نَتَعْنَ,نَتَعْتَ,نَتَعْتِ,نَتَعْتُمَا,نَتَعْتُمْ,نَتَعْتُنَّ,نَتَعْتُ,نَتَعْنَا
نتغ,نَتَغَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك , ,نَتَغَ,نَتَغَتْ,نَتَغَا,نَتَغَتَا,نَتَغُوا,نَتَغْنَ,نَتَغْتَ,نَتَغْتِ,نَتَغْتُمَا,نَتَغْتُمْ,نَتَغْتُنَّ,نَتَغْتُ,نَتَغْنَا
نتغ,نَتَغَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,نَتْغ,نَتَغَ,نَتَغَتْ,نَتَغَا,نَتَغَتَا,نَتَغُوا,نَتَغْنَ,نَتَغْتَ,نَتَغْتِ,نَتَغْتُمَا,نَتَغْتُمْ,نَتَغْتُنَّ,نَتَغْتُ,نَتَغْنَا
نتف,نَتَفَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,نَتْف,نَتَفَ,نَتَفَتْ,نَتَفَا,نَتَفَتَا,نَتَفُوا,نَتَفْنَ,نَتَفْتَ,نَتَفْتِ,نَتَفْتُمَا,نَتَفْتُمْ,نَتَفْتُنَّ,نَتَفْتُ,نَتَفْنَا
نتق,نَتَقَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,نَتْق,نَتَقَ,نَتَقَتْ,نَتَقَا,نَتَقَتَا,نَتَقُوا,نَتَقْنَ,نَتَقْتَ,نَتَقْتِ,نَتَقْتُمَا,نَتَقْتُمْ,نَتَقْتُنَّ,نَتَقْتُ,نَتَقْنَا
نتق,نَتَقَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,نُتُوق,نَتَقَ,نَتَقَتْ,نَتَقَا,نَتَقَتَا,نَتَقُوا,نَتَقْنَ,نَتَقْتَ,نَتَقْتِ,نَتَقْتُمَا,نَتَقْتُمْ,نَتَقْتُنَّ,نَتَقْتُ,نَتَقْنَا
نتك,نَتَكَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,نَتْك,نَتَكَ,نَتَكَتْ,نَتَكَا,نَتَكَتَا,نَتَكُوا,نَتَكْنَ,نَتَكْتَ,نَتَكْتِ,نَتَكْتُمَا,نَتَكْتُمْ,نَتَكْتُنَّ,نَتَكْتُ,نَتَكْنَا
نتل,نَتَلَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,نَتْل,نَتَلَ,نَتَلَتْ,نَتَلَا,نَتَلَتَا,نَتَلُوا,نَتَلْنَ,نَتَلْتَ,نَتَلْتِ,نَتَلْتُمَا,نَتَلْتُمْ,نَتَلْتُنَّ,نَتَلْتُ,نَتَلْنَا
نتل,نَتَلَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,نُتُول,نَتَلَ,نَتَلَتْ,نَتَلَا,نَتَلَتَا,نَتَلُوا,نَتَلْنَ,نَتَلْتَ,نَتَلْتِ,نَتَلْتُمَا,نَتَلْتُمْ,نَتَلْتُنَّ,نَتَلْتُ,نَتَلْنَا
نتن,نَتَنَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,نَتْن,نَتَنَ,نَتَنَتْ,نَتَنَا,نَتَنَتَا,نَتَنُوا,نَتَنْنَ,نَتَنْتَ,نَتَنْتِ,نَتَنْتُمَا,نَتَنْتُمْ,نَتَنْتُنَّ,نَتَنْتُ,نَتَنْنَا
نتن,نَتِنَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,نَتَن,نَتِنَ,نَتِنَتْ,نَتِنَا,نَتِنَتَا,نَتِنُوا,نَتِنْنَ,نَتِنْتَ,نَتِنْتِ,نَتِنْتُمَا,نَتِنْتُمْ,نَتِنْتُنَّ,نَتِنْتُ,نَتِنْنَا
نتن,نَتُنَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,نَتَانَة,نَتُنَ,نَتُنَتْ,نَتُنَا,نَتُنَتَا,نَتُنُوا,نَتُنْنَ,نَتُنْتَ,نَتُنْتِ,نَتُنْتُمَا,نَتُنْتُمْ,نَتُنْتُنَّ,نَتُنْتُ,نَتُنْنَا
