sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
46,أَيَّا تَضْرِبْ أَضْرِبْهُ,0,أَيَّا,UNKNOWN,,,,—,—,
46,أَيَّا تَضْرِبْ أَضْرِبْهُ,1,تَضْرِبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,ضرب,تَفْعِلْ,
46,أَيَّا تَضْرِبْ أَضْرِبْهُ,2,أَضْرِبْهُ,FIIL,مَرْفُوع,ضمة,فعل مضارع,ضرب,أَفْعِلْ,
47,مَتَى تَكْتُبْ أَكْتُبْ,0,مَتَى,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
47,مَتَى تَكْتُبْ أَكْتُبْ,1,تَكْتُبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,كتب,تَفْعُلْ,
47,مَتَى تَكْتُبْ أَكْتُبْ,2,أَكْتُبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,كتب,أَفْعُلْ,
48,مَهْمَا تَكْتُبْ أَكْتُبْ,0,مَهْمَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
48,مَهْمَا تَكْتُبْ أَكْتُبْ,1,تَكْتُبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,كتب,تَفْعُلْ,
48,مَهْمَا تَكْتُبْ أَكْتُبْ,2,أَكْتُبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,كتب,أَفْعُلْ,
49,أَيْنَمَا تَنْزِلْ أَنْزِلْ,0,أَيْنَمَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
49,أَيْنَمَا تَنْزِلْ أَنْزِلْ,1,تَنْزِلْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,نزل,تَفْعِلْ,
49,أَيْنَمَا تَنْزِلْ أَنْزِلْ,2,أَنْزِلْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,نزل,أَفْعِلْ,
50,أَنَّى تَسْتَقِمْ تَرْبَحْ,0,أَنَّى,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
50,أَنَّى تَسْتَقِمْ تَرْبَحْ,1,تَسْتَقِمْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,,,
50,أَنَّى تَسْتَقِمْ تَرْبَحْ,2,تَرْبَحْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,ربح,تَفْعَلْ,
51,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,0,حَيْثُمَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
51,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,1,تَسْتَقِمْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,,,
51,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,2,يَقْدَرْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,قدر,يَفْعَلْ,
51,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,3,لَكَ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
51,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,4,اللَّهُ,JALALAH,مَرْفُوع,ضمة,اسم مجرور,ءله,,
51,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,5,نَجَاحًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,نجحا,فَفَاعَل,
52,إِذْمَا تَذْهَبْ أَذْهَبْ,0,إِذْمَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
52,إِذْمَا تَذْهَبْ أَذْهَبْ,1,تَذْهَبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,ذهب,تَفْعَلْ,
52,إِذْمَا تَذْهَبْ أَذْهَبْ,2,أَذْهَبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,ذهب,أَفْعَلْ,
53,لَوْ تَقَدَّمْ تَنْجَحْ,0,لَوْ,HARF,مَبْنِي,,حرف,,,HARF
53,لَوْ تَقَدَّمْ تَنْجَحْ,1,تَقَدَّمْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,,,
53,لَوْ تَقَدَّمْ تَنْجَحْ,2,تَنْجَحْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,نجح,تَفْعَلْ,
54,إِذَا تَتَعَلَّمْ تُفْلِحْ,0,إِذَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
54,إِذَا تَتَعَلَّمْ تُفْلِحْ,1,تَتَعَلَّمْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,,,
54,إِذَا تَتَعَلَّمْ تُفْلِحْ,2,تُفْلِحْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,فلح,تُفْعِلْ,
55,رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا,0,رَأَيْتُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,OVERRIDE_AS_VERB
55,رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا,1,أَحَدَ,FIIL,مَرْفُوع,ضمة,فعل مضارع,أحد,فَعَل,
55,رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا,2,عَشَرَ,FIIL,مَبْنِي,,فعل ماضٍ,عشر,فَعَل,
55,رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا,3,كَوْكَبًا,JAMID,مَنْصُوب,فتحة,مفعول به منصوب,,,
56,كَمْ دَارًا بَنَيْتَ؟,0,كَمْ,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
56,كَمْ دَارًا بَنَيْتَ؟,1,دَارًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,دور,فَالَا,
56,كَمْ دَارًا بَنَيْتَ؟,2,بَنَيْتَ؟,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,نت؟,فَيْعَل,
57,كَأَيْنَ عَبْدًا مَلَكْتَ,0,كَأَيْنَ,UNKNOWN,مَجْرُور,ياء,,—,—,
57,كَأَيْنَ عَبْدًا مَلَكْتَ,1,عَبْدًا,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,
57,كَأَيْنَ عَبْدًا مَلَكْتَ,2,مَلَكْتَ,FIIL,مَبْنِي,,فعل ماضٍ,ملك,فَعَل,
58,كَذَا وَكَذَا دِرْهَمًا مَلَكْتَ,0,كَذَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
58,كَذَا وَكَذَا دِرْهَمًا مَلَكْتَ,1,وَكَذَا,FIIL,مَبْنِي,,فعل ماضٍ,وكذ,فَعَل,
58,كَذَا وَكَذَا دِرْهَمًا مَلَكْتَ,2,دِرْهَمًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,در,فِل,
58,كَذَا وَكَذَا دِرْهَمًا مَلَكْتَ,3,مَلَكْتَ,FIIL,مَبْنِي,,فعل ماضٍ,ملك,فَعَل,
59,مَلَكْتَ مِائَةَ دِرْهَمٍ,0,مَلَكْتَ,FIIL,مَبْنِي,,فعل ماضٍ,ملك,فَعَل,
59,مَلَكْتَ مِائَةَ دِرْهَمٍ,1,مِائَةَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
59,مَلَكْتَ مِائَةَ دِرْهَمٍ,2,دِرْهَمٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,در,فِل,
60,رَأَيْتُ أَلْفَ رَجُلٍ,0,رَأَيْتُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,OVERRIDE_AS_VERB
60,رَأَيْتُ أَلْفَ رَجُلٍ,1,أَلْفَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
60,رَأَيْتُ أَلْفَ رَجُلٍ,2,رَجُلٍ,JAMID,مَجْرُور,كسرة,اسم مجرور,,,
61,مَلَكْتَ أَلْوَفَ دَرَاهِمَ,0,مَلَكْتَ,FIIL,مَبْنِي,,فعل ماضٍ,ملك,فَعَل,
61,مَلَكْتَ أَلْوَفَ دَرَاهِمَ,1,أَلْوَفَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
61,مَلَكْتَ أَلْوَفَ دَرَاهِمَ,2,دَرَاهِمَ,FIIL,مَبْنِي,,فعل ماضٍ,درا,فَعَل,
62,جَمَعْتُ مَلَايِينَ دِرْهَمٍ,0,جَمَعْتُ,FIIL,مَبْنِي,,فعل ماضٍ,جمع,فَعَل,
62,جَمَعْتُ مَلَايِينَ دِرْهَمٍ,1,مَلَايِينَ,UNKNOWN,مَجْرُور,ياء,,—,—,
62,جَمَعْتُ مَلَايِينَ دِرْهَمٍ,2,دِرْهَمٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,در,فِل,
63,أَيَّةَ كِتَابًا قَرَأْتَ؟,0,أَيَّةَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
63,أَيَّةَ كِتَابًا قَرَأْتَ؟,1,كِتَابًا,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,
63,أَيَّةَ كِتَابًا قَرَأْتَ؟,2,قَرَأْتَ؟,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,,,
64,كَيْتَ مَالًا جَمَعْتَ؟,0,كَيْتَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
64,كَيْتَ مَالًا جَمَعْتَ؟,1,مَالًا,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,
64,كَيْتَ مَالًا جَمَعْتَ؟,2,جَمَعْتَ؟,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,,,
65,جَاءَ ذُو مَالٍ كَثِيرٍ,0,جَاءَ,FIIL,مَبْنِي,,فعل ماضٍ,جوء,فَالَ,
65,جَاءَ ذُو مَالٍ كَثِيرٍ,1,ذُو,UNKNOWN,مَرْفُوع,ضمة,,—,—,
65,جَاءَ ذُو مَالٍ كَثِيرٍ,2,مَالٍ,JAMID,مَجْرُور,كسرة,اسم مجرور,,,
65,جَاءَ ذُو مَالٍ كَثِيرٍ,3,كَثِيرٍ,ISM_MUARAB,مَجْرُور,كسرة,نعت مجرور,كثر,فَعِيل,
66,يَا رَيْحَانُ رُوَيْدَ زَيْدًا,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
66,يَا رَيْحَانُ رُوَيْدَ زَيْدًا,1,رَيْحَانُ,ISM_MUARAB,مَرْفُوع,ألف,مبتدأ مرفوع,ريح,فَعْلَان,
66,يَا رَيْحَانُ رُوَيْدَ زَيْدًا,2,رُوَيْدَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
66,يَا رَيْحَانُ رُوَيْدَ زَيْدًا,3,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,زدا,فَيْعِل,
67,يَا وَلَدَانِ بَلْهَ بَسِيطًا,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
67,يَا وَلَدَانِ بَلْهَ بَسِيطًا,1,وَلَدَانِ,JAMID,مَرْفُوع,ألف,مبتدأ مرفوع,,,
67,يَا وَلَدَانِ بَلْهَ بَسِيطًا,2,بَلْهَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
67,يَا وَلَدَانِ بَلْهَ بَسِيطًا,3,بَسِيطًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,بسط,فَعِيل,
68,يَا بَسِيطُ دُونَكَ الْكِتَابَ,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
68,يَا بَسِيطُ دُونَكَ الْكِتَابَ,1,بَسِيطُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,بسط,فَعِيل,
68,يَا بَسِيطُ دُونَكَ الْكِتَابَ,2,دُونَكَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
68,يَا بَسِيطُ دُونَكَ الْكِتَابَ,3,الْكِتَابَ,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,
69,يَا رَيْحَانُ عَلَيْكَ مُهْتَدِيًا,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
69,يَا رَيْحَانُ عَلَيْكَ مُهْتَدِيًا,1,رَيْحَانُ,ISM_MUARAB,مَرْفُوع,ألف,مبتدأ مرفوع,ريح,فَعْلَان,
69,يَا رَيْحَانُ عَلَيْكَ مُهْتَدِيًا,2,عَلَيْكَ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
69,يَا رَيْحَانُ عَلَيْكَ مُهْتَدِيًا,3,مُهْتَدِيًا,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,هدي,افْتَعَل,
70,يَا سَرْمِينُ هَاءَ دِرْهَمًا,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
70,يَا سَرْمِينُ هَاءَ دِرْهَمًا,1,سَرْمِينُ,ISM_MUARAB,مَجْرُور,ياء,اسم مجرور,سرم,فَعْلَان,
70,يَا سَرْمِينُ هَاءَ دِرْهَمًا,2,هَاءَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
70,يَا سَرْمِينُ هَاءَ دِرْهَمًا,3,دِرْهَمًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,در,فِل,
71,يَا وَلَدَانِ حَيَّهَلِ الْقَهْوَةَ,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
71,يَا وَلَدَانِ حَيَّهَلِ الْقَهْوَةَ,1,وَلَدَانِ,JAMID,مَرْفُوع,ألف,مبتدأ مرفوع,,,
71,يَا وَلَدَانِ حَيَّهَلِ الْقَهْوَةَ,2,حَيَّهَلِ,UNKNOWN,مَجْرُور,كسرة,,—,—,
71,يَا وَلَدَانِ حَيَّهَلِ الْقَهْوَةَ,3,الْقَهْوَةَ,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,قهو,فَعْلَة,
72,هَيْهَاتَ الْعَقِيقُ,0,هَيْهَاتَ,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
72,هَيْهَاتَ الْعَقِيقُ,1,الْعَقِيقُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,عقق,فَعِيل,
73,شَتَّانَ سَرْمِينُ وَبَسِيطٌ,0,شَتَّانَ,UNKNOWN,مَرْفُوع,ألف,,—,—,
73,شَتَّانَ سَرْمِينُ وَبَسِيطٌ,1,سَرْمِينُ,ISM_MUARAB,مَجْرُور,ياء,اسم مجرور,سرم,فَعْلَان,
73,شَتَّانَ سَرْمِينُ وَبَسِيطٌ,2,وَبَسِيطٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,بسط,فَعِيل,
74,سُرْعَانَ زَيْدٌ خُرُوجًا,0,سُرْعَانَ,UNKNOWN,مَرْفُوع,ألف,,—,—,
74,سُرْعَانَ زَيْدٌ خُرُوجًا,1,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,زيد,فَعْلٌ,
74,سُرْعَانَ زَيْدٌ خُرُوجًا,2,خُرُوجًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,خرج,فُعُول,
75,كَانَ الْعَالِمُ طَالِبًا,0,كَانَ,UNKNOWN,مَرْفُوع,ألف,,—,—,OVERRIDE_AS_VERB
75,كَانَ الْعَالِمُ طَالِبًا,1,الْعَالِمُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,علم,فَاعِل,
75,كَانَ الْعَالِمُ طَالِبًا,2,طَالِبًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,طلب,فَاعِل,
76,صَارَ الْحَدِيدُ سَيْفًا,0,صَارَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
76,صَارَ الْحَدِيدُ سَيْفًا,1,الْحَدِيدُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,
76,صَارَ الْحَدِيدُ سَيْفًا,2,سَيْفًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,سفا,فَيْعِل,
77,أَصْبَحَ الْبَرْدُ شَدِيدًا,0,أَصْبَحَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,OVERRIDE_AS_VERB
77,أَصْبَحَ الْبَرْدُ شَدِيدًا,1,الْبَرْدُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,برد,فَعْل,
77,أَصْبَحَ الْبَرْدُ شَدِيدًا,2,شَدِيدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,شدد,فَعِيل,
78,أَمْسَى الْفَلَّاحُ رَاجِعًا,0,أَمْسَى,UNKNOWN,مَنْصُوب,فتحة,,—,—,
78,أَمْسَى الْفَلَّاحُ رَاجِعًا,1,الْفَلَّاحُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,فلح,فَعَّال,
78,أَمْسَى الْفَلَّاحُ رَاجِعًا,2,رَاجِعًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,رجع,فَاعِل,
79,أَضْحَى الطَّالِبُ مُصَلِّيًا,0,أَضْحَى,UNKNOWN,مَنْصُوب,فتحة,,—,—,
79,أَضْحَى الطَّالِبُ مُصَلِّيًا,1,الطَّالِبُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,طلب,فَاعِل,
79,أَضْحَى الطَّالِبُ مُصَلِّيًا,2,مُصَلِّيًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,صلي,مُفَعِّل,
80,ظَلَّ بَسِيطٌ صَائِمًا,0,ظَلَّ,UNKNOWN,,,,—,—,OVERRIDE_AS_VERB
80,ظَلَّ بَسِيطٌ صَائِمًا,1,بَسِيطٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,بسط,فَعِيل,
80,ظَلَّ بَسِيطٌ صَائِمًا,2,صَائِمًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,صوم,فَائِلًا,
81,بَاتَ الطَّالِبُ مُتَدَرِّسًا,0,بَاتَ,UNKNOWN,مَنْصُوب,كسرة,,—,—,
81,بَاتَ الطَّالِبُ مُتَدَرِّسًا,1,الطَّالِبُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,طلب,فَاعِل,
81,بَاتَ الطَّالِبُ مُتَدَرِّسًا,2,مُتَدَرِّسًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,درس,مُتَفَعِّل,
82,مَا زَالَ زَيْدٌ مُنْفَرِدًا,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
82,مَا زَالَ زَيْدٌ مُنْفَرِدًا,1,زَالَ,FIIL,مَبْنِي,,فعل ماضٍ,زول,فَالَ,
82,مَا زَالَ زَيْدٌ مُنْفَرِدًا,2,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,زيد,فَعْلٌ,
82,مَا زَالَ زَيْدٌ مُنْفَرِدًا,3,مُنْفَرِدًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,فرد,مُنْفَعِل,
83,مَا بَرِحَ الْجَهْلُ مُضِرًّا,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
83,مَا بَرِحَ الْجَهْلُ مُضِرًّا,1,بَرِحَ,FIIL,مَبْنِي,,فعل ماضٍ,برح,فَعل,
83,مَا بَرِحَ الْجَهْلُ مُضِرًّا,2,الْجَهْلُ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,جهل,فَعْل,
83,مَا بَرِحَ الْجَهْلُ مُضِرًّا,3,مُضِرًّا,ISM_MUARAB,,,اسم,ضرر,مُفِعّ,
84,مَا فَتِئَ سَرْمِينُ مُتَبَسِّمًا,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
84,مَا فَتِئَ سَرْمِينُ مُتَبَسِّمًا,1,فَتِئَ,FIIL,مَبْنِي,,فعل ماضٍ,فتئ,فَعل,
84,مَا فَتِئَ سَرْمِينُ مُتَبَسِّمًا,2,سَرْمِينُ,ISM_MUARAB,مَجْرُور,ياء,اسم مجرور,سرم,فَعْلَان,
84,مَا فَتِئَ سَرْمِينُ مُتَبَسِّمًا,3,مُتَبَسِّمًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,بسم,مُتَفَعِّل,
85,مَا انْفَكَّ هَاشِمٌ عَالِمًا,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
85,مَا انْفَكَّ هَاشِمٌ عَالِمًا,1,انْفَكَّ,FIIL,مَبْنِي,,فعل ماضٍ,إنف,فِعْل,
85,مَا انْفَكَّ هَاشِمٌ عَالِمًا,2,هَاشِمٌ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,هشم,فَاعِل,
85,مَا انْفَكَّ هَاشِمٌ عَالِمًا,3,عَالِمًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,علم,فَاعِل,
86,مَا دَامَ الْفَاسِقُ مُتَرَدِّدًا,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
86,مَا دَامَ الْفَاسِقُ مُتَرَدِّدًا,1,دَامَ,FIIL,مَبْنِي,,فعل ماضٍ,دوم,فَالَ,
86,مَا دَامَ الْفَاسِقُ مُتَرَدِّدًا,2,الْفَاسِقُ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,فسق,فَاعِل,
86,مَا دَامَ الْفَاسِقُ مُتَرَدِّدًا,3,مُتَرَدِّدًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,ردد,مُتَفَعِّل,
87,لَيْسَ زَيْدٌ حَاضِرًا,0,لَيْسَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,OVERRIDE_AS_VERB
87,لَيْسَ زَيْدٌ حَاضِرًا,1,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,زيد,فَعْلٌ,
87,لَيْسَ زَيْدٌ حَاضِرًا,2,حَاضِرًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,حضر,فَاعِل,
88,عَسَى زَيْدٌ أَنْ يَحْضُرَ,0,عَسَى,UNKNOWN,مَنْصُوب,فتحة,,—,—,OVERRIDE_AS_VERB
88,عَسَى زَيْدٌ أَنْ يَحْضُرَ,1,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,زيد,فَعْلٌ,
88,عَسَى زَيْدٌ أَنْ يَحْضُرَ,2,أَنْ,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB
88,عَسَى زَيْدٌ أَنْ يَحْضُرَ,3,يَحْضُرَ,FIIL,مَنْصُوب,فتحة,فعل مضارع,حضر,يَفْعُل,
89,كَادَ زَيْدٌ يَقُومُ,0,كَادَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,OVERRIDE_AS_VERB
