sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,1,رَجُلٍ,JAMID,مَجْرُور,كسرة,مضاف إليه مجرور,,,
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,2,كَرِيمٍ,ISM_MUARAB,مَجْرُور,كسرة,نعت مجرور,كرم,فَعِيل,
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,3,لَقِيتُهُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,لقت,فَعِيل,
11,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,0,وَلَيْلٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,ولل,فَعَيْل,
11,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,1,كَمَوْجِ,ISM_MUARAB,مَجْرُور,كسرة,نعت مجرور,كمج,فَعَوْل,
11,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,2,الْبَحْرِ,JAMID,مَجْرُور,كسرة,مضاف إليه مجرور,,,
12,الْكِتَابُ عَلَى الْمَكْتَبِ,0,الْكِتَابُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,
12,الْكِتَابُ عَلَى الْمَكْتَبِ,1,عَلَى,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
12,الْكِتَابُ عَلَى الْمَكْتَبِ,2,الْمَكْتَبِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,كتب,مَفْعَل,
13,زَيْدٌ كَالْأَسَدِ,0,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,زيد,فَعْلٌ,
13,زَيْدٌ كَالْأَسَدِ,1,كَالْأَسَدِ,FIIL,مَبْنِي,,فعل ماضٍ,أسد,فَعَل,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,1,رَأَيْتُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,OVERRIDE_AS_VERB
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,زدا,فَيْعِل,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,3,مُذْ,UNKNOWN,مَجْزُوم,سكون,,—,—,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,4,يَوْمِ,FIIL,مَرْفُوع,ضمة,فعل مضارع,يوم,فَعْل,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,5,الْجُمُعَةِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,,,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
