wazn_plain,voweled_variants,sources,babs,morph_types,token_count,row_count,examples
يتفاعل,يَتَفَاعَل | يَتَفَاعْل,mishkat_extracted,,verb,10,7,حجج+يَتَحَاجُّونَ | خفت+يَتَخَافَتُونَ | رجع+يَتَرَاجَعَا | عرف+يَتَعَارَفُونَ | غمز+يَتَغَامَزُونَ
ايفعل,أَيَفْعَل | أَيُفِعْل | أَيُفْعِل,mishkat_extracted,,noun,9,6,حبب+أَيُحِبُّ | حسب+أَيَحْسَبُ | حسب+أَيَحْسَبُونَ | شرك+أَيُشْرِكُونَ | طمع+أَيَطْمَعُ
تتفعل,تَتَفَعَّل,mishkat_extracted,,verb,9,5,ذكر+تَتَذَكَّرُونَ | فكر+تَتَفَكَّرُونَ | قلب+تَتَقَلَّبُ | كبر+تَتَكَبَّرَ | نزل+تَتَنَزَّلُ
فالباعل,فِالْبَاعِل,mishkat_extracted,,noun,9,1,بطل+بِالْبَاطِلِ
فتفعلو,فَتَفَعَّلُو | فَتَفْعَلُو | فَتُفْعِلُو,mishkat_extracted,,verb,9,5,ربص+فَتَرَبَّصُوا | صبح+فَتُصْبِحُوا | فشل+فَتَفْشَلُوا | قطع+فَتَقَطَّعُوا | متع+فَتَمَتَّعُوا
فعالل,الْفَعَالِل | فَعاَلِل | فَعَالِل | فُعَالِل | وَالفَّعاَلِل | وَالفَّعَالِل | وَفَعَالِل,mishkat_extracted | user_extensions,رباعي,noun,9,9,(curated)+دَرَاهِم | حنجر+الْحَنَاجِرَ | حنجر+الْحَنَاجِرِ | درهم+دَرَاهِمَ | سردق+سُرَادِقُهَا
فعالية,الفَّعَالِيَة | فَعَالِيَة | وَفَعاَلِيَة | وَفَعَالِيَة,mishkat_extracted,,noun,9,5,ثمن+ثَمَانِيَةٌ | ثمن+ثَمَانِيَةَ | ثمن+وَثَمَانِيَةَ | زبن+الزَّبَانِيَةَ | علن+وَعَلاَنِيَةً
فلفعل,فَلفُعْل | فَلَفِعْل | فَلِفَعِل | فَلِفَعْل,mishkat_extracted,,noun,9,5,ءمم+فَلأُمِّهِ | بءس+فَلَبِئْسَ | ذلك+فَلِذَلِكَ | نعم+فَلَنِعْمَ | نفس+فَلِنَفْسِهِ
يفاعلو,لِيُفَاعِلُو | لِيُفَاعْلُو | يُفَاعِلُو | يُفَاعْلُو,mishkat_extracted,,verb,9,6,جدل+لِيُجَادِلُوكُم | جهد+يُجَاهِدُوا | حجج+لِيُحَاجُّوكُم | حجج+يُحَاجُّوكُم | ظهر+يُظَاهِرُوا
افاعل,أَفَاعِل | أُفَاعِل | افَّاعَل | الأَفَاعِل,mishkat_extracted | user_extensions,جمع تكسير,verb,8,7,(curated)+أَكَابِر | خلف+أُخَالِفَكُم | درك+ادَّارَكَ | رذل+أَرَاذِلُنَا | رغب+أَرَاغِبٌ
افطعل,أَفْطَعْل | افْطُعْل | وَافْطَعِل,mishkat_extracted,,verb,8,3,صبر+وَاصْطَبِر | ضرر+أَضْطَرُّهُ | ضرر+اضْطُرَّ
منفعل,لَمُنفَعِل | مُنفَعَل | مُنفَعِل | مُنفَعْل | مُنْفَعَل | مُنْفَعِل,canonical_table | mishkat_extracted,اسم الفاعل | اسم المفعول,noun,8,8,(curated)+مُنْكَسِر | (curated)+مُنْكَسَر | بثث+مُنبَثًّا | فطر+مُنفَطِرٌ | فكك+مُنفَكِّينَ
انفعل,أَنَفْعُل | أَنُفْعِل | انفَعَل | وَانفَعَل | وَانفَعْل,mishkat_extracted,,verb,7,7,بعث+انبَعَثَ | سجد+أَنَسْجُدُ | سلخ+انسَلَخَ | شقق+وَانشَقَّ | طعم+أَنُطْعِمُ
انفعلو,انفَعَلُو | انفَعِلُو | انفَعْلُو | لاَنفَعْلُو,mishkat_extracted,,verb,7,4,طلق+انطَلِقُوا | فضض+انفَضُّوا | فضض+لاَنفَضُّوا | قلب+انقَلَبُوا
فاعلم,فَأَعلُم,mishkat_extracted,,noun,7,1,ءنت+ءَأَنتُم
فعلتن,فَعَلْتَن | فَعَّلْتَن | وَفَعَّلْتَن,mishkat_extracted,,verb,7,6,ءخر+أَخَّرْتَنِ | ءخر+أَخَّرْتَنِي | ءمر+أَمَرْتَنِي | حشر+حَشَرْتَنِي | خلق+خَلَقْتَنِي
ففاعلو,فَفَأَعِلُو | فَفَاعِلُو,mishkat_extracted,,noun | verb,7,4,ءمن+أَفَأَمِنُوا | عقب+فَعَاقِبُوا | قتل+فَقَاتِلُوا | كتب+فَكَاتِبُوهُم
فمعل,فُمَعَّل | فُمِعْل | فُمْعِل,mishkat_extracted,,noun,7,6,مدد+مُمِدُّكُم | مرد+مُمَرَّدٌ | مزق+مُمَزَّقٍ | مسك+مُمْسِكَ | مسك+مُمْسِكَاتُ
فمعول,فَمْعُول,mishkat_extracted,,noun,7,4,مدد+مَمْدُودًا | مدد+مَمْدُودٍ | ملك+مَمْلُوكًا | منن+مَمْنُونٍ
يتفعلو,لِيَتَفَعَّلُو | وَلِيَتَفَعَّلُو | وَيَتَفَعَّلُو | يَتَفَعَّلُو,mishkat_extracted,,noun | verb,7,6,خلف+يَتَخَلَّفُوا | طهر+يَتَطَهَّرُوا | فقه+لِيَتَفَقَّهُوا | فكر+يَتَفَكَّرُوا | متع+وَلِيَتَمَتَّعُوا
يفعلف,يُفَعْلَف | يُفَعْلِف,mishkat_extracted,,verb,7,3,خفف+يُخَفَّفُ | خفف+يُخَفِّف | خفف+يُخَفِّفَ
استفعلتم,اسْتَفْعَلْتُم | وَاسْتَفْعَلْتُم,mishkat_extracted,,verb,6,6,عجل+اسْتَعْجَلْتُم | كبر+اسْتَكْبَرْتُم | كبر+وَاسْتَكْبَرْتُم | كثر+اسْتَكْثَرْتُم | متع+اسْتَمْتَعْتُم
افتعلتم,افْتَعَلْتُم | لاَفْتَعَلْتُم,mishkat_extracted,,verb,6,4,ءخذ+اتَّخَذْتُم | ءخذ+اتَّخَذْتُمُ | خلف+اخْتَلَفْتُم | خلف+لاَخْتَلَفْتُم
تفعلل,تَفَعْلَل | تَفْعَلِل | وَتَفْعَلِل | وَلِتَفْعَلِل,mishkat_extracted | user_extensions,رباعي,verb,6,5,(curated)+تَدَحْرَجَ | طمءن+تَطْمَئِنُّ | طمءن+وَتَطْمَئِنَّ | طمءن+وَتَطْمَئِنُّ | طمءن+وَلِتَطْمَئِنَّ
فاستفعل,فَاسْتَفَعْل | فَاسْتَفْعَل | فَاسْتَفْعِل,mishkat_extracted,,verb,6,6,خفف+فَاسْتَخَفَّ | عصم+فَاسْتَعْصَمَ | غفر+فَاسْتَغْفَرَ | غفر+فَاسْتَغْفِر | غلظ+فَاسْتَغْلَظَ
فافعلت,فَأَفعَلْت | فَأَفْعَلَت | فَأَفْعَلْت,mishkat_extracted,,verb,6,6,خلف+فَأَخْلَفْتُكُم | صبح+فَأَصْبَحَت | قبل+فَأَقْبَلَتِ | كثر+فَأَكْثَرْتَ | نذر+فَأَنذَرْتُكُم
فالفاعل,فَالفَّاعِل | فَالْفَاعِل,mishkat_extracted,,noun,6,6,حمل+فَالْحَامِلاَتِ | زجر+فَالزَّاجِرَاتِ | سبق+فَالسَّابِقَاتِ | صلح+فَالصَّالِحَاتُ | عصف+فَالْعَاصِفَاتِ
فسيفعل,فَسَيَفْعَل | فَسَيَفْعُل | فَسَيُفعِل | فَسَيُفْعِل,mishkat_extracted,,verb,6,5,حشر+فَسَيَحْشُرُهُم | دخل+فَسَيُدْخِلُهُم | علم+فَسَيَعْلَمُونَ | نغض+فَسَيُنْغِضُونَ | نفق+فَسَيُنفِقُونَهَا
فعاليل,فَعَالِيل | وَالْفَعَالِيل | وَفَعَالِيل,mishkat_extracted | user_extensions,رباعي,noun,6,6,(curated)+قَنَادِيل | خنزر+وَالْخَنَازِيرَ | سربل+سَرَابِيلَ | سربل+سَرَابِيلُهُم | سربل+وَسَرَابِيلَ
فعليل,الْفِعلِيل | فِعلِيل | فِعْلِيل,mishkat_extracted | user_extensions,رباعي,noun,6,4,(curated)+قِنْدِيل | خنزر+الْخِنزِيرِ | خنزر+خِنزِيرٍ | عفرت+عِفْرِيتٌ | قطمر+قِطْمِيرٍ
فنفعل,فَنَفَعْل | فَنَفُعْل | فَنَفَّعِل | فَنَفْعَل,mishkat_extracted,,verb,6,5,تبع+فَنَتَّبِعَ | جعل+فَنَجْعَل | ردد+فَنَرُدَّهَا | ظلل+فَنَظَلُّ | عمل+فَنَعْمَلَ
استفعال,اسْتِفْعَال | اِسْتِفْعَال,canonical_table | mishkat_extracted,المصدر الأصلي,verb,5,4,(curated)+اِسْتِخْرَاج | بدل+اسْتِبْدَالَ | عجل+اسْتِعْجَالَهُم | غفر+اسْتِغْفَارُ | كبر+اسْتِكْبَارًا
استفعلت,أَسْتَفْعَلْت | اسْتَفْعَلْت | لاَسْتَفْعَلْت | وَاسْتَفْعَلْت,mishkat_extracted,,verb,5,5,ءجر+اسْتَئْجَرْتَ | غفر+أَسْتَغْفَرْتَ | كبر+أَسْتَكْبَرْتَ | كبر+وَاسْتَكْبَرْتَ | كثر+لاَسْتَكْثَرْتُ
افعيال,أَفعِيَال | الأَفعِيَال,mishkat_extracted,,verb,5,2,نبء+أَنبِيَاءَ | نبء+الأَنبِيَاءَ
انفعلت,انفَعَلَت | انفَعْلَت | وَانفَعْلَت,mishkat_extracted,,verb,5,5,شقق+انشَقَّت | شقق+انشَقَّتِ | شقق+وَانشَقَّتِ | فطر+انفَطَرَت | كدر+انكَدَرَت
تستفعلو,تَسْتَفْعِلُو,mishkat_extracted,,verb,5,5,ءنس+تَسْتَأْنِسُوا | رضع+تَسْتَرْضِعُوا | عجل+تَسْتَعْجِلُوهُ | فتح+تَسْتَفْتِحُوا | قسم+تَسْتَقْسِمُوا
فءعلة,فَئِعْلَة,mishkat_extracted,,noun,5,2,ءمم+أَئِمَّةً | ءمم+أَئِمَّةَ
فافعال,فَأَفْعَال | فَإِفْعَال | فَافِّعَال | فَافْعَال,mishkat_extracted,,verb,5,5,تبع+فَاتِّبَاعٌ | صحب+فَأَصْحَابُ | طعم+فَإِطْعَامُ | مسك+فَإِمْسَاكٌ | نهر+فَانْهَارَ
فالبعل,فِالْبَعَل | فِالْبُعْل | فِالْبِعْل,mishkat_extracted,,noun,5,3,بخل+بِالْبُخْلِ | برر+بِالْبِرِّ | بصر+بِالْبَصَرِ
فانفعل,فَانفَعَل,mishkat_extracted,,verb,5,3,سلخ+فَانسَلَخَ | طلق+فَانطَلَقَا | فلق+فَانفَلَقَ
فستفعل,فَسَتَفْعَل | فَسَتُفْعِل,mishkat_extracted,,verb,5,3,بصر+فَسَتُبْصِرُ | رضع+فَسَتُرْضِعُ | علم+فَسَتَعْلَمُونَ
فعاءلت,وَفَعاَئِلَت,mishkat_extracted,,noun,5,3,ملك+وَمَلاَئِكَتَهُ | ملك+وَمَلاَئِكَتُهُ | ملك+وَمَلاَئِكَتِهِ
فعلول,الْفُعْلُول | الْفِعْلَوْل | فُعْلُول | كَالْفُعْلُول,mishkat_extracted | user_extensions,رباعي,noun,5,5,(curated)+بُرْهَان | حلقم+الْحُلْقُومَ | خرطم+الْخُرْطُومِ | عرجن+كَالْعُرْجُونِ | فردس+الْفِرْدَوْسَ
ففعال,فَفَعاَل | فَفَعَال | فَفِعَال,mishkat_extracted,,noun,5,4,رجل+فَرِجَالاً | رهن+فَرِهَانٌ | سلم+فَسَلاَمٌ | متع+فَمَتَاعُ
ففعلم,فَفَعلُم | فَفَعَلَّم | فَفَعِلُم,mishkat_extracted,,noun,5,3,ءنت+فَأَنتُم | ذلك+فَذَلِكُمُ | كأن+فَكَأَنَّمَا
مفاعلة,الْمُفَاعَلَة | مُفَاعَلَة | مُفَاعِلَة,canonical_table | mishkat_extracted,اسم الفاعل (feminine) | اسم المفعول (feminine) | المصدر الأصلي,noun,5,4,(curated)+مُشَارِكَة | (curated)+مُشَارَكَة | (curated)+مُشَارَكَة | برك+الْمُبَارَكَةِ | برك+مُبَارَكَةً
مفعلو,مُفَعِّلُو | مُفْعَلُو | مُفْعِلُو,mishkat_extracted,,noun,5,4,ترف+مُتْرَفُوهَا | عذب+مُعَذِّبُوهَا | هلك+مُهْلِكُوا | هلك+مُهْلِكُوهَا
نتفعل,نَتَفَعَّل | نُتَفَعَّل,mishkat_extracted,,verb,5,4,خطف+نُتَخَطَّفُ | ربص+نَتَرَبَّصُ | قبل+نَتَقَبَّلُ | كلم+نَتَكَلَّمَ
يستفعلو,وَيَسْتَفْعِلُو | يَسْتَفعِلُو | يَسْتَفْعِلُو,mishkat_extracted,,verb,5,5,ءذن+يَسْتَئْذِنُوهُ | عتب+يَسْتَعْتِبُوا | غفر+وَيَسْتَغْفِرُوا | غفر+يَسْتَغْفِرُوا | نقذ+يَسْتَنقِذُوهُ
بالفعل,وَبِالفَّعْل | وَبِالفُّعُل | وَبِالْفَعْل,mishkat_extracted,,noun,4,3,حقق+وَبِالْحَقِّ | زبر+وَبِالزُّبُرِ | نجم+وَبِالنَّجْمِ
تفاعلتم,تَفَاعَلْتُم | وَتَفَاعَلْتُم | وَلَتَفَاعَلْتُم,mishkat_extracted,,verb,4,4,عسر+تَعَاسَرْتُم | نزع+تَنَازَعْتُم | نزع+وَتَنَازَعْتُم | نزع+وَلَتَنَازَعْتُم
تفاعلن,تُفَاعِلْن,mishkat_extracted,,verb,4,3,ءخذ+تُؤَاخِذْنِي | خطب+تُخَاطِبْنِي | صحب+تُصَاحِبْنِي
سافعل,سَأَفْعِل | سَأُفعِل | سَأُفَعِّل | سَأُفْعِل,mishkat_extracted,,verb,4,4,رهق+سَأُرْهِقُهُ | صرف+سَأَصْرِفُ | نبء+سَأُنَبِّئُكَ | نزل+سَأُنزِلُ
فاعلية,الْفَاعِلِيَّة,mishkat_extracted,,noun,4,1,جهل+الْجَاهِلِيَّةِ
فبفعل,فَبِفَعِل | فَبِفُعْل | فَبِفِعْل,mishkat_extracted,,noun,4,3,ءذن+فَبِإِذْنِ | ذلك+فَبِذَلِكَ | ظلم+فَبِظُلْمٍ
فعلان,الفَّعْلَانِي | فَعَلَان | فَعْلَان | فَعْلَانِي | فُعْلَانِي,canonical_table | mishkat_extracted,الصفة المشبهة | المصدر الأصلي,noun,4,4,(curated)+عَطْشَان | (curated)+غَلَيَان | ربب+الرَّبَّانِيُّونَ | ربب+رَبَّانِيِّنَ | سلط+سُلْطَانِيَه
فعللة,فَعْلَلَة | فُعلُلَة | فِعْلِلَة | لَفِعْلِلَة,mishkat_extracted,,noun,4,4,زلزل+زَلْزَلَةَ | سلسل+سِلْسِلَةٍ | سنبل+سُنبُلَةٍ | شرذم+لَشِرْذِمَةٌ
فعلوت,فَعَلُوت,mishkat_extracted,,noun,4,3,ملك+مَلَكُوتَ | ملك+مَلَكُوتُ | ملك+مَلَكُوتِ
فعولت,فُعُولَت | لِفُعُولَت | وَفُعُولَت,mishkat_extracted,,noun,4,3,بعل+بُعُولَتِهِنَّ | بعل+لِبُعُولَتِهِنَّ | بعل+وَبُعُولَتُهُنَّ
ففعلة,فَفَعِلَة | فَفَعْلَة | فَفِعْلَة,mishkat_extracted,,noun,4,3,عدد+فَعِدَّةٌ | لعن+فَلَعْنَةُ | نظر+فَنَظِرَةٌ
مفعلل,بِمُفَعْلِل | مُفَعْلَل | مُفَعْلِل | مُفْعَلِل,mishkat_extracted | user_extensions,رباعي,noun,4,4,(curated)+مُذَبْذَب | (curated)+مُتَرْجِم | ذبذب+مُذَبْذَبِينَ | زحزح+بِمُزَحْزِحِهِ | طمءن+مُطْمَئِنٌّ
نفاعل,نُفَاعِل,mishkat_extracted,,verb,4,4,سرع+نُسَارِعُ | غدر+نُغَادِر | قتل+نُقَاتِل | قتل+نُقَاتِلَ
هافعلم,هَافَعلُم,mishkat_extracted,,noun,4,1,ءنت+هَاأَنتُم
يتفعلن,يَتَفَعَّلْن,mishkat_extracted,,verb,4,2,ربص+يَتَرَبَّصْنَ | فطر+يَتَفَطَّرْنَ
ءافعل,ءَأَفْعُل | ءَافْعَل,mishkat_extracted,,noun,3,3,سجد+ءَأَسْجُدُ | شكر+ءَأَشْكُرُ | عجم+ءَاعْجَمِيٌّ
ءافعلتم,ءَأَفْعَلْتُم,mishkat_extracted,,noun,3,3,سلم+ءَأَسْلَمْتُم | شفق+ءَأَشْفَقْتُم | قرر+ءَأَقْرَرْتُم
افتعلن,افْتَعَلْن | لأَفْتَعِلَن | لاَّفْتَعَلْن,mishkat_extracted,,verb,3,3,ءخذ+لاَّتَّخَذْنَاهُ | حنك+لأَحْتَنِكَنَّ | كسب+اكْتَسَبْنَ
افتفعل,أَفَتَفْعَل | أَفَتَفْعُل | أَفَتُفْعِل,mishkat_extracted,,verb,3,3,طمع+أَفَتَطْمَعُونَ | عبد+أَفَتَعْبُدُونَ | هلك+أَفَتُهْلِكُنَا
اففعل,أَفَفَعِل | أَفَفُعْل | أَفَفِعْل,mishkat_extracted,,verb,3,3,حسب+أَفَحَسِبَ | حكم+أَفَحُكْمَ | سحر+أَفَسِحْرٌ
انفعلتم,انفَعَلْتُم,mishkat_extracted,,verb,3,2,طلق+انطَلَقْتُم | قلب+انقَلَبْتُم
بفعل,وَبِفَعِل | وَبِفَعْل,mishkat_extracted,,noun,3,3,ذلك+وَبِذَلِكَ | صدد+وَبِصَدِّهِم | عهد+وَبِعَهْدِ
تتفعلو,تَتَفَعَّلُو,mishkat_extracted,,verb,3,3,بدل+تَتَبَدَّلُوا | فرق+تَتَفَرَّقُوا | فكر+تَتَفَكَّرُوا
تفعلت,تَفَعَّلَت | وَتَفَعَّلَت,mishkat_extracted,,verb,3,3,عمد+تَعَمَّدَت | قطع+وَتَقَطَّعَت | نزل+تَنَزَّلَت
ستفعل,سَتُفْعَل | وَسَتُفَعْل,mishkat_extracted,,verb,3,3,ردد+وَسَتُرَدُّونَ | غلب+سَتُغْلَبُونَ | كتب+سَتُكْتَبُ
فافتعلت,فَافتَعَلَت | فَافْتَعَلَت,mishkat_extracted,,verb,3,3,ءخذ+فَاتَّخَذَت | حرق+فَاحْتَرَقَت | نبذ+فَانتَبَذَت
فافعلتم,فَأَفْعَلْتُم,mishkat_extracted,,verb,3,2,خلف+فَأَخْلَفْتُم | صبح+فَأَصْبَحْتُم
فباعل,فِبَاعِل | فِبَاعِلِي,mishkat_extracted,,noun,3,3,بسط+بِبَاسِطٍ | بلغ+بِبَالِغِهِ | بلغ+بِبَالِغِيهِ
فتعيل,فَتْعِيل,mishkat_extracted,,noun,3,2,تبب+تَتْبِيبٍ | تبر+تَتْبِيرًا
فتفاعل,فَتَفَاعَل,mishkat_extracted,,verb,3,2,برك+فَتَبَارَكَ | شبه+فَتَشَابَهَ
فتفعيل,فَتَفْعِيل,mishkat_extracted,,verb,3,1,حرر+فَتَحْرِيرُ
فعلس,فَعْلَس | فُعْلِس,mishkat_extracted,,noun,3,2,ءسس+أَسَّسَ | ءسس+أُسِّسَ
فعللت,فُعْلِلَت | وَفُعْلِلَت,mishkat_extracted,,verb,3,3,بعثر+بُعْثِرَت | ذلل+وَذُلِّلَت | زلزل+زُلْزِلَتِ
فعولة,فَعُولَة | فَعْوَلَة | فُعُولَة,canonical_table | mishkat_extracted | user_extensions,شاذ | صيغة مبالغة (feminine),noun,3,3,(curated)+شَكُورَة | (curated)+رُجُولَة | بعض+بَعُوضَةً | حمل+حَمُولَةً | قسر+قَسْوَرَةٍ
فنءعل,فَنُؤْعِل,mishkat_extracted,,noun,3,1,ءمن+أَنُؤْمِنُ
فنعلن,لَفَنعُلَن | لَفَنعِلَن,mishkat_extracted,,noun,3,3,نزع+لَنَنزِعَنَّ | نسف+لَنَنسِفَنَّهُ | نصر+لَنَنصُرَنَّكُم
فواعيل,فَوَاعِيل,mishkat_extracted | user_extensions,جمع تكسير,noun,3,2,(curated)+طَوَاحِين | قرر+قَوَارِيرَ | قرر+قَوَارِيرَا
فوعل,الْفَوْعَل | فُوعِل,mishkat_extracted,,noun,3,3,برك+بُورِكَ | عقب+عُوقِبَ | كثر+الْكَوْثَرَ
مفعلت,مَفْعِلَت | مِفعَلَت,mishkat_extracted,,noun,3,2,عذر+مَعْذِرَتُهُم | نسء+مِنسَأَتَهُ
مفعللة,الْمُفَعلَلَة | الْمُفْعَلِلَّة | مُفْعَلِلَّة,mishkat_extracted,,noun,3,3,طمءن+الْمُطْمَئِنَّةُ | طمءن+مُطْمَئِنَّةً | قنطر+الْمُقَنطَرَةِ
نفتعل,نَفْتَعِل,mishkat_extracted | user_extensions,verb_form_VIII,verb,3,3,(curated)+نَكْتَسِب | بهل+نَبْتَهِل | سبق+نَسْتَبِقُ | قبس+نَقْتَبِس
يافعال,يَافِعَال,mishkat_extracted,,noun,3,2,جبل+يَاجِبَالُ | نسء+يَانِسَاءَ
يامفعل,يَامَفْعَل,mishkat_extracted,,noun,3,1,عشر+يَامَعْشَرَ
يستفعلن,لَيَسْتَفْعِلَن | يَسْتَفِعْلَن | يَسْتَفْعِلْن,mishkat_extracted,,verb,3,3,خفف+يَسْتَخِفَّنَّكَ | خلف+لَيَسْتَخْلِفَنَّهُم | عفف+يَسْتَعْفِفْنَ
ءافعلت,ءَأَفعَلْت,mishkat_extracted,,noun,2,1,نذر+ءَأَنذَرْتَهُم
ءالفعل,ءَالفَّعَل,mishkat_extracted,,noun,2,1,ذكر+ءَالذَّكَرَيْنِ
اءفعل,أَءُفعِل | أَؤُفَعِّل,mishkat_extracted,,noun,2,2,نبء+أَؤُنَبِّئُكُم | نزل+أَءُنزِلَ
اتفاعل,أَتُفَاعْل,mishkat_extracted,,verb,2,2,حجج+أَتُحَاجُّونَنَا | حجج+أَتُحَاجُّونِّي
افبفعال,أَفَبِفَعَال,mishkat_extracted,,verb,2,1,عذب+أَفَبِعَذَابِنَا
افتعلتمو,افْتَعَلْتُمُو,mishkat_extracted,,verb,2,2,عزل+اعْتَزَلْتُمُوهُم | قرف+اقْتَرَفْتُمُوهَا
افعتل,افْعَتَل,mishkat_extracted,,verb,2,2,قتل+اقْتَتَلَ | كتب+اكْتَتَبَهَا
افعتلو,افْعَتَلُو,mishkat_extracted,,verb,2,1,قتل+اقْتَتَلُوا
افعلاء,أَفِعْلَاء | أَفْعِلَاء | وَأَفِعْلَاؤ,mishkat_extracted | user_extensions,جمع تكسير,verb,2,2,(curated)+أَصْدِقَاء | حبب+وَأَحِبَّاؤُهُ | شدد+أَشِدَّاءُ
افعلتمو,أَفعَلْتُمُو | أَفْعَلتُمُو,mishkat_extracted,,verb,2,2,ثخن+أَثْخَنتُمُوهُم | نزل+أَنزَلْتُمُوهُ
اففالباعل,أَفَفِالْبَاعِل,mishkat_extracted,,verb,2,1,بطل+أَفَبِالْبَاطِلِ
افنفعل,أَفَنَفْعَل | أَفَنَفْعِل,mishkat_extracted,,verb,2,2,جعل+أَفَنَجْعَلُ | ضرب+أَفَنَضْرِبُ
انفعال,انفِعَال | اِنْفِعَال,canonical_table | mishkat_extracted,المصدر الأصلي,verb,2,2,(curated)+اِنْكِسَار | بعث+انبِعَاثَهُم | فصم+انفِصَامَ
اوفعلتم,أَوَفَعِلْتُم,mishkat_extracted,,noun,2,1,عجب+أَوَعَجِبْتُم
بفعال,لَبِفِعَال | وَبِفَعاَل,mishkat_extracted,,noun,2,2,ءمم+لَبِإِمَامٍ | كلم+وَبِكَلاَمِي
بفعلت,وَبِفَعْلَت | وَبِفِعْلَت,mishkat_extracted,,verb,2,2,رحم+وَبِرَحْمَتِهِ | نعم+وَبِنِعْمَتِ
تفعلق,تَفَعْلَق,mishkat_extracted,,verb,2,1,شقق+تَشَقَّقُ
سنستفعل,سَنَسْتَفْعِل,mishkat_extracted,,noun,2,1,درج+سَنَسْتَدْرِجُهُم
فءتعل,فَءْتَعِل,mishkat_extracted,,noun,2,2,ءخذ+أَتَّخِذ | ءخذ+أَتَّخِذُ
فءتعلن,فَءْتَعَلْن | لفَءْتَعِلَن,mishkat_extracted,,noun,2,2,ءخذ+أَتَّخَذْنَاهُم | ءخذ+لأَتَّخِذَنَّ
فاستفعلتم,فَاسْتَفْعَلْتُم,mishkat_extracted,,verb,2,2,كبر+فَاسْتَكْبَرْتُم | متع+فَاسْتَمْتَعْتُم
فاعول,الفَّاعُول | فَاعُول,canonical_table | mishkat_extracted,اسم الآلة,noun,2,2,(curated)+سَاطُور | كفر+كَافُورًا | نقر+النَّاقُورِ
فالبعلاء,فِالْبَعْلَاء,mishkat_extracted,,noun,2,1,بءس+بِالْبَأْسَاءِ
فالبعلى,فِالْبُعْلَى,mishkat_extracted,,noun,2,1,بشر+بِالْبُشْرَى
فالفعل,فَالْفَعْل | فَالْفُعْل,mishkat_extracted,,noun,2,2,حقق+فَالْحَقُّ | حكم+فَالْحُكْمُ
فالمفعل,فَالْمُفَعِّل,mishkat_extracted,,noun,2,2,دبر+فَالْمُدَبِّرَاتِ | قسم+فَالْمُقَسِّمَاتِ
فانفعلت,فَانفَعَلَت,mishkat_extracted,,verb,2,2,بجس+فَانبَجَسَت | فجر+فَانفَجَرَت
فانفعلو,فَانفَعَلُو,mishkat_extracted,,verb,2,2,طلق+فَانطَلَقُوا | قلب+فَانقَلَبُوا
فبعيل,فِبَعِيل,mishkat_extracted,,noun,2,1,بعد+بِبَعِيدٍ
فتءتعل,فَتَءْتَعِل,mishkat_extracted,,noun,2,2,ءخذ+أَتَتَّخِذُ | ءخذ+أَتَتَّخِذُنَا
فتاعل,فَتَأْعُل,mishkat_extracted,,noun,2,2,ءخذ+أَتَأْخُذُونَهُ | ءمر+أَتَأْمُرُونَ
فتفاعلو,فَتَفَاعَلُو | فَتُفَاعِلُو,mishkat_extracted,,verb,2,2,نزع+فَتَنَازَعُوا | هجر+فَتُهَاجِرُوا
فتنفعلو,فَتَنفَعِلُو,mishkat_extracted,,verb,2,1,قلب+فَتَنقَلِبُوا
فستمعل,فُسْتَمِعْل,mishkat_extracted,,noun,2,2,مرر+مُسْتَمِرٌّ | مرر+مُسْتَمِرٍّ
فعاءكل,فِعَاءَكُل | وَفِعَائِكُل,mishkat_extracted,,noun,2,2,ءمم+وَإِمَائِكُم | دمم+دِمَاءَكُم
فعاليب,فَعاَلِيب | وَفَعَالِيب,mishkat_extracted,,noun,2,2,جلب+جَلاَبِيبِهِنَّ | غرب+وَغَرَابِيبُ
فعلاس,بِالْفِعْلَاس,mishkat_extracted,,noun,2,1,قسط+بِالْقِسْطَاسِ
فعللو,وَفُعْلِلُو,mishkat_extracted,,verb,2,1,زلزل+وَزُلْزِلُوا
فعللوت,الْفَعلَلُوت,mishkat_extracted,,noun,2,1,عنكب+الْعَنكَبُوتِ
فعللير,فَعْلَلِير,mishkat_extracted,,noun,2,2,زمهر+زَمْهَرِيرًا | قمطر+قَمْطَرِيرًا
فعلياء,الْفِعْلِيَاء,mishkat_extracted,,noun,2,1,كبر+الْكِبْرِيَاءُ
ففاعلتم,فَفَأَعِلتُم | فَفَاعَلْتُم,mishkat_extracted,,verb,2,2,ءمن+أَفَأَمِنتُم | عقب+فَعَاقَبْتُم
ففعيل,فَفَعِيل,mishkat_extracted,,noun,2,2,فرق+فَفَرِيقًا | قلل+فَقَلِيلاً
ففنعل,فَفُنَعِّل,mishkat_extracted,,noun,2,2,نبء+فَنُنَبِّئُكُم | نبء+فَنُنَبِّئُهُم
فلافعل,فَلأَفعُل,mishkat_extracted,,verb,2,2,نفس+فَلأَنفُسِكُم | نفس+فَلأَنفُسِهِم
فلعل,فَلَعِل | وَفَلَعَل,mishkat_extracted,,noun,2,2,لبث+لَلَبِثَ | لبس+وَلَلَبَسْنَا
فلنفعلن,فَلَنَفُعْلَن | فَلَنَفْعَلَن,mishkat_extracted,,verb,2,2,سءل+فَلَنَسْئَلَنَّ | قصص+فَلَنَقُصَّنَّ
