wazn_plain,voweled_variants,sources,babs,morph_types,token_count,row_count,examples
ففعل,فَفَعل | فَفَعَل | فَفَعُل | فَفَعِل | فَفَعَّل | فَفَعِّل | فَفَعْل | فَفُعُل | فَفُعِل | فَفُعْل | فَفِعل | فَفِعِل | فَفِعْل | فَفْعَل,mishkat_extracted,,noun | verb,174,113,ءجر+فَأَجِرْهُ | ءجر+فَأَجْرُهُ | ءخذ+فَأَخَذَهُ | ءخذ+فَأَخَذَهُم | ءخذ+فَأَخَذَهُمُ
فاعلة,الفَّاعِلَة | الفَّاعْلَة | الْفَاعِلَة | الْفَاعْلَة | بِالفَّاعِلَة | بِالْفَاعِلَة | بِفَاعِلَة | فَاعِلَة | فَاعْلَة | وَالفَّاعِلَة | وَالْفَاعِلَة | وَفَاعِلَة,canonical_table | mishkat_extracted,اسم الآلة (feminine) | اسم الفاعل (feminine),noun,159,82,(curated)+كَاتِبَة | (curated)+طَابِعَة | ءمن+ءَامِنَةً | برز+بَارِزَةً | بزغ+بَازِغَةً
فافعل,فَأَفعَل | فَأَفعُل | فَأَفعِل | فَأَفَعْل | فَأَفَّعِل | فَأَفَّعَّل | فَأَفْعَل | فَأَفْعُل | فَأَفْعِل | فَأُفَعِّل | فَافعَل | فَافعُل | فَافعِل | فَافَّعَل | فَافَّعِل | فَافْعَل | فَافْعُل | فَافْعِل | فَافْعِلِي,mishkat_extracted,,verb,143,79,تبع+فَأَتْبَعَ | تبع+فَأَتْبَعَهُ | تبع+فَأَتْبَعَهُم | تبع+فَأَتْبَعْنَا | تبع+فَاتَّبِع
فعلى,الفَعْلَى | الفُعلَى | الفُعْلَى | الفُّعْلَى | الفِّعْلَى | الْفَعْلَى | الْفُعْلَى | بِالفُعلَى | بِالْفُعْلَى | فَعْلَى | فُعلَى | فُعْلًى | فُعْلَى | فِعْلَى | كَالفُعلَى | لَفَعْلَى | لَفُعْلَى | لَلْفُعْلَى | وَالفُعلَى | وَالْفُعْلَى | وَفُعلَى | وَفُعْلَى,canonical_table | mishkat_extracted | user_extensions,اسم التفضيل (feminine) | الصفة المشبهة (feminine) | شاذ,noun,130,38,(curated)+عَطْشَى | (curated)+كُبْرَى | (curated)+كُبْرَى | (curated)+قَتْلَى | ءخر+أُخْرَى
افعلت,أَفعَلَت | أَفعَلْت | أَفَعَلْت | أَفَعْلَت | أَفْعَلت | أَفْعَلَت | أَفْعَلْت | أَفْعِلَت | أُفعِلَت | أُفِعْلَت | أُفْعِلَت | أُفْعِلْت | افَّعَلْت | افْعَلَت | بِأَفْعِلَت | لافْعَلَت | وَأَفعَلَت | وَأَفْعَلَت | وَأَفْعَلْت | وَأَفْعِلَت | وَأُفِعْلَت | وَأُفْعِلَت | وَافَّعَلَت | وَافَّعَلْت | وَافْعَلَت,mishkat_extracted,,verb,122,86,بلغ+أَبْلَغْتُكُم | تبع+اتَّبَعْتَ | تبع+وَاتَّبَعَتْهُم | تبع+وَاتَّبَعْتُ | تمم+أَتْمَمْتَ
فعلتم,فَعَلتُم | فَعَلتُّم | فَعَلْتُم | فَعِلتُم | فَعِلتُّم | فَعِلْتُم | فَعَّلتُّم | فَعَّلْتُم | فُعِلتُم | فُعِلْتُم | فُعِّلْتُم | لَفَعِلْتُم | وَفَعَلتُم | وَفَعَلْتُم | وَفَعَّلْتُم | وَفُعِّلْتُم,mishkat_extracted,,verb,117,68,ءخذ+أَخَذْتُم | ءمن+أَمِنتُم | بطش+بَطَشْتُم | ترك+تَرَكْتُم | ترك+وَتَرَكْتُم
مفاعل,الْمَفَاعِل | الْمُفَاعِل | مَفَاعِل | مُفَاعَل | مُفَاعِل | مُفَاعْل | وَالْمَفَاعِل | وَالْمُفَاعِل | وَمَفَاعِل,canonical_table | mishkat_extracted | user_extensions,اسم الفاعل | اسم المفعول | جمع تكسير,noun,117,60,(curated)+مُشَارِك | (curated)+مُشَارَك | (curated)+مَدَارِس | ءرب+مَئَارِبُ | برك+مُبَارَكًا
يفعلو,لِيَفعِلُو | لِيَفُعْلُو | لِيَفَّعَّلُو | لِيَفْعَلُو | لِيَفْعُلُو | لِيَفْعِلُو | لِيُفَعِّلُو | لِيُفِعْلُو | لِيُفْعِلُو | وَلِيَفْعَلُو | وَلِيَفْعُلُو | وَلِيُفعَلُو | وَلِيُفعِلُو | وَلِيُفَعِّلُو | وَلْيَفْعَلُو | وَيَفُعْلُو | وَيَفْعَلُو | وَيَفْعُلُو | وَيُفعِلُو | يَفعُلُو | يَفُعْلُو | يَفِعْلُو | يَفَّعِلُو | يَفَّعَّلُو | يَفْعَلُو | يَفْعُلُو | يَفْعِلُو | يُفَعَّلُو | يُفَعِّلُو | يُفِعْلُو | يُفْعَلُو | يُفْعِلُو,mishkat_extracted,,verb,115,86,ءكل+لِيَأْكُلُوا | بدل+يُبَدِّلُوا | بسط+وَيَبْسُطُوا | بسط+يَبْسُطُوا | بصر+يَبْصُرُوا
فعلاء,الفَّعْلَاء | الفُّعَلَاء | الفُّعَلَاؤ | الْفَعْلَاء | الْفُعَلَاء | الْفُعَلَاؤ | بِالفُّعَلَاء | بِالْفَعْلَاء | بِفُعَلَائ | فَعْلَاء | فُعَلَاء | فُعَلَاؤ | فُعَلَائ | لِفُعَلَائ | لِلْفُعَلَاء | وَالفَّعْلَاء | وَالفُّعَلَاء | وَالْفَعْلَاء | وَفُعَلَاء,canonical_table | mishkat_extracted | user_extensions,الصفة المشبهة (feminine) | جمع تكسير,noun,114,64,(curated)+حَمْرَاء | (curated)+عُلَمَاء | بءس+الْبَأْسَاءُ | بءس+الْبَأْسَاءِ | برء+بُرَءَاؤُا
افعلن,أَفعَلْن | أَفعِلْن | أَفَعْلَن | أَفْعَلَن | أَفْعَلْن | أَفْعِلْن | أَفْعِلْنِي | افعُلْن | افَّعَلَن | افْعَلْن | افْعُلْن | لأَفْعلَن | لأَفْعَلَن | لأَفْعُلَن | لأَفْعِلَن | لأُفَعِّلَن | لاَّفَّعَلْن | وَأَفْعَلْن | وَأَفْعِلْن | وَافْعَلْن | وَافْعُلْن | وَلأَفْعَلْن | وَلأُفَعِّلَن | وَلأُفِعْلَن | وَلأُفْعِلَن,mishkat_extracted,,verb,99,60,تبع+اتَّبَعَنِ | تبع+اتَّبَعَنِي | تبع+لاَّتَّبَعْنَاكُم | تبع+وَأَتْبَعْنَاهُم | ترف+وَأَتْرَفْنَاهُم
