wazn_plain,voweled_variants,rows,tokens,examples
فليستفعلو,فَلْيَسْتَفْعِلُو,1,1,ءذن+فَلْيَسْتَئْذِنُوا
لفعل,وَلِلفَعْل,1,1,ءرض+وَلِلأَرْضِ
يافعلى,يَافَعَلَى,1,1,ءسف+يَاأَسَفَى
فءعل,فَئِعْل,1,1,ءفك+أَئِفْكًا
فياعل,فَيَأْعُل,1,1,ءمر+أَيَأْمُرُكُم
يبنفعل,يَبْنَفُعْل,1,1,ءمم+يَبْنَؤُمَّ
ففتءعل,فَفَتُؤْعِل,1,1,ءمن+أَفَتُؤْمِنُونَ
ففاعلم,فَفَأَعلُم,1,1,ءنت+أَفَأَنتُم
اتستفعل,أَتَسْتَفْعِل,1,1,بدل+أَتَسْتَبْدِلُونَ
مفعولت,مَفْعُولَت,1,1,بسط+مَبْسُوطَتَانِ
فابعال,فِأَبْعَال,1,1,بصر+بِأَبْصَارِهِم
فالابعال,فِالأَبْعَال,1,1,بصر+بِالأَبْصَارِ
فبعالة,فِبِعَالَة,1,1,بضع+بِبِضَاعَةٍ
فبعلة,فِبَعْلَة,1,1,بكك+بِبَكَّةَ
فتعلن,فَتَّعِلَن,1,1,تبع+تَتَّبِعَنِ
فعلاج,فَعْلَاج,1,1,ثجج+ثَجَّاجًا
فعلب,فَعْلَب,1,1,حبب+حَبَّبَ
مفعلر,مُفَعْلَر,1,1,حرر+مُحَرَّرًا
يافعلة,يَافَعْلَة,1,1,حسر+يَاحَسْرَةً
يافعلت,يَافَعْلَت,1,1,حسر+يَاحَسْرَتَنَا
يافعلتى,يَافَعْلَتَى,1,1,حسر+يَاحَسْرَتَى
فعلف,فَعْلَف,1,1,خفف+خَفَّفَ
ففعلل,فَفَعْلَل,1,1,دمدم+فَدَمْدَمَ
مفعالت,مُفْعَالَّت,1,1,دهم+مُدْهَامَّتَانِ
فكفعل,فَكَفَعِل,1,1,ذلك+فَكَذَلِكَ
ءافعال,ءَأَفْعَال,1,1,ربب+ءَأَرْبَابٌ
لفعال,وَلِلفِّعَال,1,1,رجل+وَلِلرِّجَالِ
بالمفعال,لَبِالْمِفْعَال,1,1,رصد+لَبِالْمِرْصَادِ
